Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
1.97742e+02 2.95556e-01 1.97742e+02 7.11111e-02 1.97742e+02 2.04444e-01 1.97742e+02 1.31111e-01
1.98544e+02 1.07778e-01 1.98544e+02 1.00000e-01 1.98544e+02 -2.88889e-02 1.98544e+02 1.64444e-01
1.99347e+02 1.03333e-01 1.99347e+02 1.00000e-01 1.99347e+02 -5.88889e-02 1.99347e+02 1.61111e-01
2.00149e+02 1.13333e-01 2.00149e+02 1.00000e-01 2.00149e+02 -8.00000e-02 2.00149e+02 1.60000e-01
2.00951e+02 -7.00000e-02 2.00951e+02 9.77778e-02 2.00951e+02 -2.58889e-01 2.00951e+02 1.60000e-01
2.01753e+02 4.88889e-02 2.01753e+02 9.88889e-02 2.01753e+02 -2.13333e-01 2.01753e+02 1.60000e-01
2.02554e+02 -2.61111e-01 2.02554e+02 9.77778e-02 2.02554e+02 -5.82222e-01 2.02554e+02 1.60000e-01
2.03356e+02 -2.50000e-01 2.03356e+02 9.55556e-02 2.03356e+02 -5.42222e-01 2.03356e+02 1.60000e-01
2.04158e+02 -8.33333e-02 2.04158e+02 9.55556e-02 2.04158e+02 -4.23333e-01 2.04158e+02 1.60000e-01
2.04960e+02 -2.48889e-01 2.04960e+02 9.33333e-02 2.04960e+02 -5.87778e-01 2.04960e+02 1.60000e-01
2.05761e+02 -2.63333e-01 2.05761e+02 9.22222e-02 2.05761e+02 -6.83333e-01 2.05761e+02 1.60000e-01
2.06563e+02 -1.78889e-01 2.06563e+02 9.00000e-02 2.06563e+02 -5.66667e-01 2.06563e+02 1.60000e-01
2.07364e+02 -2.73333e-01 2.07364e+02 9.00000e-02 2.07364e+02 -6.23333e-01 2.07364e+02 1.60000e-01
2.08166e+02 -2.04444e-01 2.08166e+02 9.00000e-02 2.08166e+02 -5.38889e-01 2.08166e+02 1.60000e-01
2.08967e+02 -2.93333e-01 2.08967e+02 9.00000e-02 2.08967e+02 -5.72222e-01 2.08967e+02 1.60000e-01
2.09768e+02 -4.25556e-01 2.09768e+02 9.00000e-02 2.09768e+02 -6.73333e-01 2.09768e+02 1.60000e-01
