Wavelength_01 quinine_0.2mM_PL Wavelength_02 quinine_0.2mM_Abs
1.97742e+02 2.02222e-01 1.97742e+02 1.77778e-02
1.98544e+02 3.61111e-01 1.98544e+02 2.37778e-01
1.99347e+02 2.61111e-01 1.99347e+02 2.30000e-01
2.00149e+02 4.46667e-01 2.00149e+02 2.33333e-01
2.00951e+02 4.26667e-01 2.00951e+02 2.35556e-01
2.01753e+02 4.87778e-01 2.01753e+02 2.40000e-01
2.02554e+02 8.84444e-01 2.02554e+02 2.40000e-01
2.03356e+02 9.22222e-01 2.03356e+02 2.40000e-01
2.04158e+02 8.66667e-01 2.04158e+02 2.48889e-01
2.04960e+02 1.02556e+00 2.04960e+02 2.50000e-01
2.05761e+02 1.04556e+00 2.05761e+02 2.60000e-01
2.06563e+02 1.00222e+00 2.06563e+02 2.60000e-01
2.07364e+02 1.24222e+00 2.07364e+02 2.70000e-01
2.08166e+02 1.27667e+00 2.08166e+02 2.78889e-01
2.08967e+02 1.57556e+00 2.08967e+02 2.87778e-01
2.09768e+02 1.65778e+00 2.09768e+02 3.00000e-01
2.10569e+02 1.64444e+00 2.10569e+02 3.10000e-01
2.11370e+02 1.51111e+00 2.11370e+02 3.30000e-01
2.12172e+02 1.49667e+00 2.12172e+02 3.54444e-01
2.12973e+02 1.45000e+00 2.12973e+02 3.90000e-01
2.13773e+02 1.01111e+00 2.13773e+02 4.30000e-01
2.14574e+02 7.91111e-01 2.14574e+02 4.65556e-01
2.15375e+02 6.94444e-01 2.15375e+02 5.00000e-01
2.16176e+02 8.43333e-01 2.16176e+02 5.30000e-01
2.16977e+02 1.07333e+00 2.16977e+02 5.50000e-01
2.17777e+02 1.01778e+00 2.17777e+02 5.60000e-01
2.18578e+02 1.05889e+00 2.18578e+02 5.60000e-01
2.19378e+02 1.14667e+00 2.19378e+02 5.60000e-01
2.20179e+02 1.10778e+00 2.20179e+02 5.60000e-01
2.20979e+02 1.39556e+00 2.20979e+02 5.50000e-01
2.21779e+02 1.30778e+00 2.21779e+02 5.40000e-01
2.22579e+02 1.10889e+00 2.22579e+02 5.30000e-01
2.23380e+02 1.36778e+00 2.23380e+02 5.10000e-01
2.24180e+02 1.36444e+00 2.24180e+02 4.98889e-01
2.24980e+02 1.46000e+00 2.24980e+02 4.80000e-01
2.25780e+02 1.54333e+00 2.25780e+02 4.60000e-01
2.26579e+02 1.37333e+00 2.26579e+02 4.50000e-01
2.27379e+02 1.30778e+00 2.27379e+02 4.34444e-01
2.28179e+02 1.13000e+00 2.28179e+02 4.21111e-01
2.28979e+02 8.50000e-01 2.28979e+02 4.18889e-01
2.29778e+02 9.47778e-01 2.29778e+02 4.10000e-01
2.30578e+02 7.88889e-01 2.30578e+02 4.10000e-01
2.31377e+02 7.31111e-01 2.31377e+02 4.14444e-01
2.32177e+02 6.07778e-01 2.32177e+02 4.20000e-01
2.32976e+02 4.07778e-01 2.32976e+02 4.34444e-01
2.33775e+02 4.48889e-01 2.33775e+02 4.50000e-01
2.34575e+02 4.96667e-01 2.34575e+02 4.70000e-01
2.35374e+02 2.92222e-01 2.35374e+02 4.90000e-01
