x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
1.97742e+02 -3.60000e-01 1.97742e+02 -3.04444e-01 1.97742e+02 -5.66667e-01 1.97742e+02 -4.76667e-01 1.97742e+02 -4.21111e-01
1.98544e+02 -4.81111e-01 1.98544e+02 -4.82222e-01 1.98544e+02 -6.42222e-01 1.98544e+02 -5.58889e-01 1.98544e+02 -4.04444e-01
1.99347e+02 -5.33333e-01 1.99347e+02 -4.62222e-01 1.99347e+02 -7.11111e-01 1.99347e+02 -5.47778e-01 1.99347e+02 -4.50000e-01
2.00149e+02 -5.80000e-01 2.00149e+02 -4.52222e-01 2.00149e+02 -6.43333e-01 2.00149e+02 -4.94444e-01 2.00149e+02 -4.28889e-01
2.00951e+02 -6.10000e-01 2.00951e+02 -4.41111e-01 2.00951e+02 -6.33333e-01 2.00951e+02 -4.86667e-01 2.00951e+02 -4.33333e-01
2.01753e+02 -5.81111e-01 2.01753e+02 -3.97778e-01 2.01753e+02 -5.33333e-01 2.01753e+02 -4.36667e-01 2.01753e+02 -3.12222e-01
2.02554e+02 -5.45556e-01 2.02554e+02 -5.12222e-01 2.02554e+02 -5.30000e-01 2.02554e+02 -4.47778e-01 2.02554e+02 -3.75556e-01
2.03356e+02 -7.13333e-01 2.03356e+02 -6.52222e-01 2.03356e+02 -6.21111e-01 2.03356e+02 -5.88889e-01 2.03356e+02 -4.84444e-01
2.04158e+02 -7.37778e-01 2.04158e+02 -5.83333e-01 2.04158e+02 -5.67778e-01 2.04158e+02 -5.93333e-01 2.04158e+02 -5.47778e-01
2.04960e+02 -6.94444e-01 2.04960e+02 -5.71111e-01 2.04960e+02 -5.08889e-01 2.04960e+02 -5.56667e-01 2.04960e+02 -5.30000e-01
2.05761e+02 -7.72222e-01 2.05761e+02 -7.21111e-01 2.05761e+02 -6.75556e-01 2.05761e+02 -7.17778e-01 2.05761e+02 -6.45556e-01
2.06563e+02 -7.28889e-01 2.06563e+02 -7.35556e-01 2.06563e+02 -6.17778e-01 2.06563e+02 -6.72222e-01 2.06563e+02 -6.07778e-01
2.07364e+02 -6.52222e-01 2.07364e+02 -6.31111e-01 2.07364e+02 -4.90000e-01 2.07364e+02 -6.37778e-01 2.07364e+02 -5.84444e-01
2.08166e+02 -8.35556e-01 2.08166e+02 -6.66667e-01 2.08166e+02 -6.03333e-01 2.08166e+02 -7.21111e-01 2.08166e+02 -7.27778e-01
2.08967e+02 -5.28889e-01 2.08967e+02 -3.05556e-01 2.08967e+02 -2.50000e-01 2.08967e+02 -3.04444e-01 2.08967e+02 -4.15556e-01
