x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
1.97742e+02 2.22222e-03 1.97742e+02 -4.11111e-02 1.97742e+02 -2.22222e-03 1.97742e+02 -7.27273e-03 1.97742e+02 5.55556e-03
1.98544e+02 2.22222e-03 1.98544e+02 -5.22222e-02 1.98544e+02 -3.66667e-02 1.98544e+02 -1.36364e-02 1.98544e+02 -4.44444e-03
1.99347e+02 7.77778e-03 1.99347e+02 -4.33333e-02 1.99347e+02 -3.11111e-02 1.99347e+02 -1.36364e-02 1.99347e+02 -3.33333e-03
2.00149e+02 1.00000e-02 2.00149e+02 -4.66667e-02 2.00149e+02 -3.11111e-02 2.00149e+02 -1.45455e-02 2.00149e+02 -3.33333e-03
2.00951e+02 1.00000e-02 2.00951e+02 -4.66667e-02 2.00951e+02 -3.11111e-02 2.00951e+02 -1.27273e-02 2.00951e+02 -3.33333e-03
2.01753e+02 1.00000e-02 2.01753e+02 -4.66667e-02 2.01753e+02 -3.22222e-02 2.01753e+02 -1.27273e-02 2.01753e+02 -5.55556e-03
2.02554e+02 1.00000e-02 2.02554e+02 -4.88889e-02 2.02554e+02 -3.11111e-02 2.02554e+02 -1.09091e-02 2.02554e+02 -5.55556e-03
2.03356e+02 1.00000e-02 2.03356e+02 -4.77778e-02 2.03356e+02 -3.22222e-02 2.03356e+02 -1.45455e-02 2.03356e+02 -5.55556e-03
2.04158e+02 1.00000e-02 2.04158e+02 -4.66667e-02 2.04158e+02 -3.11111e-02 2.04158e+02 -1.27273e-02 2.04158e+02 -7.77778e-03
2.04960e+02 1.00000e-02 2.04960e+02 -4.66667e-02 2.04960e+02 -3.11111e-02 2.04960e+02 -1.27273e-02 2.04960e+02 -7.77778e-03
2.05761e+02 1.00000e-02 2.05761e+02 -4.55556e-02 2.05761e+02 -3.00000e-02 2.05761e+02 -1.18182e-02 2.05761e+02 -3.33333e-03
2.06563e+02 1.00000e-02 2.06563e+02 -4.88889e-02 2.06563e+02 -3.00000e-02 2.06563e+02 -1.09091e-02 2.06563e+02 -3.33333e-03
2.07364e+02 1.00000e-02 2.07364e+02 -4.44444e-02 2.07364e+02 -3.00000e-02 2.07364e+02 -1.00000e-02 2.07364e+02 0.00000e+00
2.08166e+02 1.00000e-02 2.08166e+02 -4.22222e-02 2.08166e+02 -3.00000e-02 2.08166e+02 -1.00000e-02 2.08166e+02 -1.11111e-03
2.08967e+02 1.00000e-02 2.08967e+02 -4.22222e-02 2.08967e+02 -3.00000e-02 2.08967e+02 -1.00000e-02 2.08967e+02 0.00000e+00
2.09768e+02 1.00000e-02 2.09768e+02 -4.11111e-02 2.09768e+02 -3.00000e-02 2.09768e+02 -1.09091e-02 2.09768e+02 0.00000e+00
2.10569e+02 1.00000e-02 2.10569e+02 -4.22222e-02 2.10569e+02 -3.00000e-02 2.10569e+02 -1.36364e-02 2.10569e+02 -1.11111e-03
2.11370e+02 1.00000e-02 2.11370e+02 -4.11111e-02 2.11370e+02 -3.11111e-02 2.11370e+02 -1.72727e-02 2.11370e+02 -5.55556e-03
2.12172e+02 1.00000e-02 2.12172e+02 -4.00000e-02 2.12172e+02 -3.33333e-02 2.12172e+02 -1.81818e-02 2.12172e+02 -6.66667e-03
2.12973e+02 1.00000e-02 2.12973e+02 -4.11111e-02 2.12973e+02 -3.33333e-02 2.12973e+02 -1.72727e-02 2.12973e+02 -7.77778e-03
2.13773e+02 1.00000e-02 2.13773e+02 -4.00000e-02 2.13773e+02 -3.44444e-02 2.13773e+02 -1.72727e-02 2.13773e+02 -6.66667e-03
2.14574e+02 1.00000e-02 2.14574e+02 -4.11111e-02 2.14574e+02 -3.33333e-02 2.14574e+02 -1.72727e-02 2.14574e+02 -6.66667e-03
2.15375e+02 1.00000e-02 2.15375e+02 -4.22222e-02 2.15375e+02 -3.33333e-02 2.15375e+02 -1.54545e-02 2.15375e+02 -3.33333e-03
2.16176e+02 1.00000e-02 2.16176e+02 -4.55556e-02 2.16176e+02 -3.22222e-02 2.16176e+02 -1.27273e-02 2.16176e+02 0.00000e+00
2.16977e+02 1.00000e-02 2.16977e+02 -4.66667e-02 2.16977e+02 -3.00000e-02 2.16977e+02 -1.09091e-02 2.16977e+02 0.00000e+00
2.17777e+02 8.88889e-03 2.17777e+02 -5.00000e-02 2.17777e+02 -3.00000e-02 2.17777e+02 -1.00000e-02 2.17777e+02 0.00000e+00
2.18578e+02 1.00000e-02 2.18578e+02 -4.66667e-02 2.18578e+02 -3.00000e-02 2.18578e+02 -1.00000e-02 2.18578e+02 0.00000e+00
2.19378e+02 1.00000e-02 2.19378e+02 -4.88889e-02 2.19378e+02 -3.00000e-02 2.19378e+02 -1.00000e-02 2.19378e+02 0.00000e+00
2.20179e+02 1.00000e-02 2.20179e+02 -4.66667e-02 2.20179e+02 -3.11111e-02 2.20179e+02 -1.00000e-02 2.20179e+02 0.00000e+00
2.20979e+02 1.00000e-02 2.20979e+02 -4.33333e-02 2.20979e+02 -3.00000e-02 2.20979e+02 -1.00000e-02 2.20979e+02 0.00000e+00
2.21779e+02 1.00000e-02 2.21779e+02 -4.00000e-02 2.21779e+02 -3.11111e-02 2.21779e+02 -1.00000e-02 2.21779e+02 -1.11111e-03
2.22579e+02 1.00000e-02 2.22579e+02 -4.11111e-02 2.22579e+02 -3.00000e-02 2.22579e+02 -1.09091e-02 2.22579e+02 -1.11111e-03
2.23380e+02 1.00000e-02 2.23380e+02 -4.00000e-02 2.23380e+02 -3.00000e-02 2.23380e+02 -1.36364e-02 2.23380e+02 -2.22222e-03
2.24180e+02 1.00000e-02 2.24180e+02 -4.00000e-02 2.24180e+02 -3.11111e-02 2.24180e+02 -1.18182e-02 2.24180e+02 -2.22222e-03
2.24980e+02 1.00000e-02 2.24980e+02 -4.00000e-02 2.24980e+02 -3.11111e-02 2.24980e+02 -1.09091e-02 2.24980e+02 -1.11111e-03
2.25780e+02 1.00000e-02 2.25780e+02 -4.00000e-02 2.25780e+02 -3.00000e-02 2.25780e+02 -1.18182e-02 2.25780e+02 0.00000e+00
2.26579e+02 1.00000e-02 2.26579e+02 -4.00000e-02 2.26579e+02 -3.11111e-02 2.26579e+02 -1.27273e-02 2.26579e+02 -1.11111e-03
2.27379e+02 1.00000e-02 2.27379e+02 -4.00000e-02 2.27379e+02 -3.00000e-02 2.27379e+02 -1.45455e-02 2.27379e+02 -1.11111e-03
2.28179e+02 1.33333e-02 2.28179e+02 -4.00000e-02 2.28179e+02 -3.00000e-02 2.28179e+02 -1.27273e-02 2.28179e+02 -1.11111e-03
2.28979e+02 1.44444e-02 2.28979e+02 -4.00000e-02 2.28979e+02 -3.00000e-02 2.28979e+02 -1.36364e-02 2.28979e+02 -1.11111e-03
2.29778e+02 1.66667e-02 2.29778e+02 -4.00000e-02 2.29778e+02 -3.00000e-02 2.29778e+02 -1.27273e-02 2.29778e+02 0.00000e+00
2.30578e+02 2.00000e-02 2.30578e+02 -3.66667e-02 2.30578e+02 -3.00000e-02 2.30578e+02 -1.36364e-02 2.30578e+02 -1.11111e-03
2.31377e+02 2.00000e-02 2.31377e+02 -3.77778e-02 2.31377e+02 -3.00000e-02 2.31377e+02 -1.36364e-02 2.31377e+02 -1.11111e-03
2.32177e+02 2.00000e-02 2.32177e+02 -3.88889e-02 2.32177e+02 -3.00000e-02 2.32177e+02 -1.09091e-02 2.32177e+02 0.00000e+00
2.32976e+02 1.88889e-02 2.32976e+02 -3.66667e-02 2.32976e+02 -2.88889e-02 2.32976e+02 -1.00000e-02 2.32976e+02 0.00000e+00
2.33775e+02 2.00000e-02 2.33775e+02 -3.77778e-02 2.33775e+02 -2.88889e-02 2.33775e+02 -1.00000e-02 2.33775e+02 0.00000e+00
2.34575e+02 1.66667e-02 2.34575e+02 -3.88889e-02 2.34575e+02 -2.88889e-02 2.34575e+02 -1.00000e-02 2.34575e+02 0.00000e+00
2.35374e+02 1.44444e-02 2.35374e+02 -4.00000e-02 2.35374e+02 -3.00000e-02 2.35374e+02 -1.00000e-02 2.35374e+02 0.00000e+00
2.36173e+02 1.11111e-02 2.36173e+02 -4.00000e-02 2.36173e+02 -3.00000e-02 2.36173e+02 -1.09091e-02 2.36173e+02 -2.22222e-03
2.36972e+02 1.11111e-02 2.36972e+02 -4.00000e-02 2.36972e+02 -2.88889e-02 2.36972e+02 -1.00000e-02 2.36972e+02 -1.11111e-03
2.37771e+02 1.33333e-02 2.37771e+02 -4.00000e-02 2.37771e+02 -2.88889e-02 2.37771e+02 -1.00000e-02 2.37771e+02 0.00000e+00
2.38570e+02 1.55556e-02 2.38570e+02 -4.00000e-02 2.38570e+02 -2.88889e-02 2.38570e+02 -1.00000e-02 2.38570e+02 0.00000e+00
2.39368e+02 1.55556e-02 2.39368e+02 -4.00000e-02 2.39368e+02 -2.88889e-02 2.39368e+02 -1.00000e-02 2.39368e+02 0.00000e+00
2.40167e+02 1.77778e-02 2.40167e+02 -4.00000e-02 2.40167e+02 -3.00000e-02 2.40167e+02 -1.00000e-02 2.40167e+02 0.00000e+00
2.40966e+02 1.55556e-02 2.40966e+02 -4.00000e-02 2.40966e+02 -3.00000e-02 2.40966e+02 -1.00000e-02 2.40966e+02 0.00000e+00
2.41764e+02 1.66667e-02 2.41764e+02 -4.00000e-02 2.41764e+02 -2.88889e-02 2.41764e+02 -1.00000e-02 2.41764e+02 -1.11111e-03
2.42563e+02 1.66667e-02 2.42563e+02 -4.00000e-02 2.42563e+02 -3.00000e-02 2.42563e+02 -1.00000e-02 2.42563e+02 -1.11111e-03
2.43361e+02 1.66667e-02 2.43361e+02 -4.00000e-02 2.43361e+02 -3.00000e-02 2.43361e+02 -1.00000e-02 2.43361e+02 -1.11111e-03
2.44160e+02 1.88889e-02 2.44160e+02 -4.00000e-02 2.44160e+02 -3.00000e-02 2.44160e+02 -1.00000e-02 2.44160e+02 -1.11111e-03
2.44958e+02 1.88889e-02 2.44958e+02 -3.88889e-02 2.44958e+02 -3.00000e-02 2.44958e+02 -1.00000e-02 2.44958e+02 -1.11111e-03
2.45756e+02 1.88889e-02 2.45756e+02 -3.88889e-02 2.45756e+02 -2.77778e-02 2.45756e+02 -1.00000e-02 2.45756e+02 0.00000e+00
2.46555e+02 2.00000e-02 2.46555e+02 -3.66667e-02 2.46555e+02 -2.88889e-02 2.46555e+02 -1.00000e-02 2.46555e+02 0.00000e+00
2.47353e+02 2.00000e-02 2.47353e+02 -3.66667e-02 2.47353e+02 -2.88889e-02 2.47353e+02 -1.00000e-02 2.47353e+02 -1.11111e-03
2.48151e+02 2.00000e-02 2.48151e+02 -3.11111e-02 2.48151e+02 -2.66667e-02 2.48151e+02 -1.09091e-02 2.48151e+02 -1.11111e-03
2.48949e+02 2.00000e-02 2.48949e+02 -3.00000e-02 2.48949e+02 -2.44444e-02 2.48949e+02 -1.00000e-02 2.48949e+02 0.00000e+00
2.49747e+02 2.00000e-02 2.49747e+02 -3.00000e-02 2.49747e+02 -2.55556e-02 2.49747e+02 -1.09091e-02 2.49747e+02 -2.22222e-03
2.50545e+02 2.11111e-02 2.50545e+02 -3.00000e-02 2.50545e+02 -2.66667e-02 2.50545e+02 -1.09091e-02 2.50545e+02 -4.44444e-03
2.51342e+02 2.44444e-02 2.51342e+02 -3.00000e-02 2.51342e+02 -2.77778e-02 2.51342e+02 -1.09091e-02 2.51342e+02 -4.44444e-03
2.52140e+02 2.44444e-02 2.52140e+02 -3.00000e-02 2.52140e+02 -2.88889e-02 2.52140e+02 -1.36364e-02 2.52140e+02 -5.55556e-03
2.52938e+02 2.77778e-02 2.52938e+02 -3.00000e-02 2.52938e+02 -2.66667e-02 2.52938e+02 -1.00000e-02 2.52938e+02 -3.33333e-03
2.53735e+02 2.88889e-02 2.53735e+02 -2.88889e-02 2.53735e+02 -2.55556e-02 2.53735e+02 -1.00000e-02 2.53735e+02 -3.33333e-03
2.54533e+02 2.88889e-02 2.54533e+02 -2.55556e-02 2.54533e+02 -2.55556e-02 2.54533e+02 -1.00000e-02 2.54533e+02 -3.33333e-03
2.55330e+02 2.88889e-02 2.55330e+02 -2.77778e-02 2.55330e+02 -2.33333e-02 2.55330e+02 -1.00000e-02 2.55330e+02 0.00000e+00
2.56128e+02 2.88889e-02 2.56128e+02 -2.22222e-02 2.56128e+02 -2.00000e-02 2.56128e+02 -9.09091e-03 2.56128e+02 0.00000e+00
2.56925e+02 3.22222e-02 2.56925e+02 -1.88889e-02 2.56925e+02 -1.88889e-02 2.56925e+02 -9.09091e-03 2.56925e+02 1.11111e-03
2.57722e+02 3.44444e-02 2.57722e+02 -1.88889e-02 2.57722e+02 -1.11111e-02 2.57722e+02 -2.72727e-03 2.57722e+02 4.44444e-03
2.58520e+02 3.88889e-02 2.58520e+02 -1.66667e-02 2.58520e+02 -1.11111e-02 2.58520e+02 -2.72727e-03 2.58520e+02 3.33333e-03
2.59317e+02 4.33333e-02 2.59317e+02 -1.00000e-02 2.59317e+02 -7.77778e-03 2.59317e+02 -9.09091e-04 2.59317e+02 6.66667e-03
2.60114e+02 4.77778e-02 2.60114e+02 -7.77778e-03 2.60114e+02 -3.33333e-03 2.60114e+02 -9.09091e-04 2.60114e+02 5.55556e-03
2.60911e+02 5.22222e-02 2.60911e+02 -4.44444e-03 2.60911e+02 -3.33333e-03 2.60911e+02 0.00000e+00 2.60911e+02 5.55556e-03
2.61708e+02 5.55556e-02 2.61708e+02 -1.11111e-03 2.61708e+02 -1.11111e-03 2.61708e+02 -9.09091e-04 2.61708e+02 5.55556e-03
2.62505e+02 6.00000e-02 2.62505e+02 2.22222e-03 2.62505e+02 2.22222e-03 2.62505e+02 2.72727e-03 2.62505e+02 8.88889e-03
2.63301e+02 6.66667e-02 2.63301e+02 6.66667e-03 2.63301e+02 2.22222e-03 2.63301e+02 1.81818e-03 2.63301e+02 6.66667e-03
2.64098e+02 7.00000e-02 2.64098e+02 1.00000e-02 2.64098e+02 5.55556e-03 2.64098e+02 3.63636e-03 2.64098e+02 8.88889e-03
2.64895e+02 7.22222e-02 2.64895e+02 1.33333e-02 2.64895e+02 6.66667e-03 2.64895e+02 5.45455e-03 2.64895e+02 1.00000e-02
2.65691e+02 7.66667e-02 2.65691e+02 1.55556e-02 2.65691e+02 1.22222e-02 2.65691e+02 1.00000e-02 2.65691e+02 1.55556e-02
2.66488e+02 7.88889e-02 2.66488e+02 1.77778e-02 2.66488e+02 1.66667e-02 2.66488e+02 1.27273e-02 2.66488e+02 1.77778e-02
2.67284e+02 8.55556e-02 2.67284e+02 2.55556e-02 2.67284e+02 1.55556e-02 2.67284e+02 1.36364e-02 2.67284e+02 1.77778e-02
2.68081e+02 8.77778e-02 2.68081e+02 2.44444e-02 2.68081e+02 1.88889e-02 2.68081e+02 1.54545e-02 2.68081e+02 1.66667e-02
2.68877e+02 8.88889e-02 2.68877e+02 2.77778e-02 2.68877e+02 2.00000e-02 2.68877e+02 2.00000e-02 2.68877e+02 1.88889e-02
2.69673e+02 9.11111e-02 2.69673e+02 3.00000e-02 2.69673e+02 2.66667e-02 2.69673e+02 2.00000e-02 2.69673e+02 2.11111e-02
2.70469e+02 9.77778e-02 2.70469e+02 3.33333e-02 2.70469e+02 2.77778e-02 2.70469e+02 2.00000e-02 2.70469e+02 2.22222e-02
2.71265e+02 1.01111e-01 2.71265e+02 3.77778e-02 2.71265e+02 2.66667e-02 2.71265e+02 1.90909e-02 2.71265e+02 2.00000e-02
2.72062e+02 1.02222e-01 2.72062e+02 4.00000e-02 2.72062e+02 2.44444e-02 2.72062e+02 1.81818e-02 2.72062e+02 1.55556e-02
2.72857e+02 1.08889e-01 2.72857e+02 4.33333e-02 2.72857e+02 2.88889e-02 2.72857e+02 1.90909e-02 2.72857e+02 1.77778e-02
2.73653e+02 1.14444e-01 2.73653e+02 5.00000e-02 2.73653e+02 3.55556e-02 2.73653e+02 2.45455e-02 2.73653e+02 2.22222e-02
2.74449e+02 1.20000e-01 2.74449e+02 5.55556e-02 2.74449e+02 3.55556e-02 2.74449e+02 2.27273e-02 2.74449e+02 2.11111e-02
2.75245e+02 1.25556e-01 2.75245e+02 6.00000e-02 2.75245e+02 3.88889e-02 2.75245e+02 2.54545e-02 2.75245e+02 2.11111e-02
2.76041e+02 1.30000e-01 2.76041e+02 6.44444e-02 2.76041e+02 4.44444e-02 2.76041e+02 3.00000e-02 2.76041e+02 2.66667e-02
2.76836e+02 1.37778e-01 2.76836e+02 6.88889e-02 2.76836e+02 5.11111e-02 2.76836e+02 3.36364e-02 2.76836e+02 2.66667e-02
2.77632e+02 1.43333e-01 2.77632e+02 7.44444e-02 2.77632e+02 5.33333e-02 2.77632e+02 3.72727e-02 2.77632e+02 3.00000e-02
2.78427e+02 1.48889e-01 2.78427e+02 7.77778e-02 2.78427e+02 6.11111e-02 2.78427e+02 3.72727e-02 2.78427e+02 3.22222e-02
2.79223e+02 1.57778e-01 2.79223e+02 8.22222e-02 2.79223e+02 6.11111e-02 2.79223e+02 3.81818e-02 2.79223e+02 3.22222e-02
