Wavelength_01 quinine_0.1mM_PL Wavelength_02 quinine_0.1mM_Abs
1.97742e+02 1.12222e-01 1.97742e+02 6.66667e-03
1.98544e+02 1.70000e-01 1.98544e+02 2.42222e-01
1.99347e+02 3.76667e-01 1.99347e+02 2.38889e-01
2.00149e+02 4.21111e-01 2.00149e+02 2.40000e-01
2.00951e+02 2.38889e-01 2.00951e+02 2.40000e-01
2.01753e+02 4.01111e-01 2.01753e+02 2.40000e-01
2.02554e+02 3.80000e-01 2.02554e+02 2.40000e-01
2.03356e+02 6.31111e-01 2.03356e+02 2.43333e-01
2.04158e+02 6.27778e-01 2.04158e+02 2.50000e-01
2.04960e+02 4.55556e-01 2.04960e+02 2.60000e-01
2.05761e+02 2.70000e-01 2.05761e+02 2.63333e-01
2.06563e+02 3.41111e-01 2.06563e+02 2.70000e-01
2.07364e+02 2.75556e-01 2.07364e+02 2.80000e-01
2.08166e+02 3.38889e-01 2.08166e+02 2.90000e-01
2.08967e+02 2.82222e-01 2.08967e+02 2.98889e-01
2.09768e+02 3.17778e-01 2.09768e+02 3.07778e-01
2.10569e+02 1.94444e-01 2.10569e+02 3.14444e-01
2.11370e+02 5.34444e-01 2.11370e+02 3.25556e-01
2.12172e+02 4.15556e-01 2.12172e+02 3.40000e-01
2.12973e+02 1.08889e-01 2.12973e+02 3.53333e-01
2.13773e+02 1.34444e-01 2.13773e+02 3.77778e-01
2.14574e+02 2.44444e-02 2.14574e+02 4.07778e-01
2.15375e+02 -8.11111e-02 2.15375e+02 4.46667e-01
2.16176e+02 -1.12222e-01 2.16176e+02 5.00000e-01
2.16977e+02 -3.37778e-01 2.16977e+02 5.60000e-01
2.17777e+02 -3.45556e-01 2.17777e+02 6.23333e-01
2.18578e+02 -1.80000e-01 2.18578e+02 6.90000e-01
2.19378e+02 -1.56667e-01 2.19378e+02 7.50000e-01
2.20179e+02 1.55556e-02 2.20179e+02 8.10000e-01
2.20979e+02 -1.26667e-01 2.20979e+02 8.56667e-01
2.21779e+02 -1.23333e-01 2.21779e+02 8.90000e-01
2.22579e+02 -1.88889e-01 2.22579e+02 9.20000e-01
2.23380e+02 -8.66667e-02 2.23380e+02 9.31111e-01
2.24180e+02 6.66667e-03 2.24180e+02 9.40000e-01
2.24980e+02 -1.76667e-01 2.24980e+02 9.40000e-01
2.25780e+02 -1.56667e-01 2.25780e+02 9.40000e-01
2.26579e+02 1.10000e-01 2.26579e+02 9.30000e-01
2.27379e+02 4.22222e-01 2.27379e+02 9.20000e-01
2.28179e+02 6.06667e-01 2.28179e+02 9.10000e-01
2.28979e+02 6.65556e-01 2.28979e+02 9.10000e-01
2.29778e+02 6.03333e-01 2.29778e+02 9.05556e-01
2.30578e+02 7.92222e-01 2.30578e+02 9.10000e-01
2.31377e+02 7.64444e-01 2.31377e+02 9.11111e-01
2.32177e+02 5.15556e-01 2.32177e+02 9.30000e-01
2.32976e+02 3.35556e-01 2.32976e+02 9.41111e-01
2.33775e+02 1.52222e-01 2.33775e+02 9.70000e-01
2.34575e+02 1.51111e-01 2.34575e+02 9.90000e-01
2.35374e+02 2.66667e-02 2.35374e+02 1.02000e+00
2.36173e+02 -2.33333e-02 2.36173e+02 1.05000e+00
2.36972e+02 -1.84444e-01 2.36972e+02 1.08000e+00
2.37771e+02 -7.33333e-02 2.37771e+02 1.11000e+00
2.38570e+02 5.00000e-02 2.38570e+02 1.14000e+00
2.39368e+02 2.60000e-01 2.39368e+02 1.16000e+00
2.40167e+02 2.10000e-01 2.40167e+02 1.18000e+00
2.40966e+02 3.12222e-01 2.40966e+02 1.20000e+00
2.41764e+02 2.43333e-01 2.41764e+02 1.22000e+00
2.42563e+02 3.20000e-01 2.42563e+02 1.23000e+00
2.43361e+02 4.18889e-01 2.43361e+02 1.23000e+00
2.44160e+02 3.85556e-01 2.44160e+02 1.23000e+00
2.44958e+02 2.60000e-01 2.44958e+02 1.22000e+00
2.45756e+02 2.28889e-01 2.45756e+02 1.20000e+00
2.46555e+02 2.27778e-01 2.46555e+02 1.18000e+00
2.47353e+02 3.34444e-01 2.47353e+02 1.15222e+00
2.48151e+02 5.14444e-01 2.48151e+02 1.13000e+00
2.48949e+02 4.68889e-01 2.48949e+02 1.12000e+00
2.49747e+02 5.81111e-01 2.49747e+02 1.11111e+00
2.50545e+02 6.25556e-01 2.50545e+02 1.12000e+00
2.51342e+02 4.75556e-01 2.51342e+02 1.13000e+00
2.52140e+02 6.28889e-01 2.52140e+02 1.15000e+00
2.52938e+02 5.66667e-01 2.52938e+02 1.16000e+00
2.53735e+02 2.02222e-01 2.53735e+02 1.17000e+00
2.54533e+02 3.88889e-02 2.54533e+02 1.16000e+00
2.55330e+02 -1.67778e-01 2.55330e+02 1.13000e+00
2.56128e+02 -1.53333e-01 2.56128e+02 1.08000e+00
2.56925e+02 8.88889e-03 2.56925e+02 1.00000e+00
2.57722e+02 -1.54444e-01 2.57722e+02 9.00000e-01
2.58520e+02 -1.41111e-01 2.58520e+02 7.92222e-01
2.59317e+02 -5.77778e-02 2.59317e+02 6.80000e-01
2.60114e+02 5.00000e-02 2.60114e+02 5.74444e-01
2.60911e+02 1.03333e-01 2.60911e+02 4.80000e-01
2.61708e+02 2.18889e-01 2.61708e+02 3.90000e-01
2.62505e+02 1.43333e-01 2.62505e+02 3.10000e-01
2.63301e+02 2.57778e-01 2.63301e+02 2.50000e-01
2.64098e+02 3.67778e-01 2.64098e+02 2.00000e-01
2.64895e+02 4.16667e-01 2.64895e+02 1.60000e-01
2.65691e+02 4.03333e-01 2.65691e+02 1.30000e-01
2.66488e+02 4.74444e-01 2.66488e+02 1.10000e-01
2.67284e+02 4.20000e-01 2.67284e+02 9.66667e-02
2.68081e+02 5.23333e-01 2.68081e+02 8.00000e-02
2.68877e+02 6.46667e-01 2.68877e+02 8.00000e-02
2.69673e+02 5.24444e-01 2.69673e+02 7.00000e-02
2.70469e+02 5.38889e-01 2.70469e+02 7.00000e-02
2.71265e+02 3.82222e-01 2.71265e+02 7.00000e-02
2.72062e+02 2.04444e-01 2.72062e+02 7.00000e-02
2.72857e+02 1.14444e-01 2.72857e+02 7.00000e-02
2.73653e+02 1.35556e-01 2.73653e+02 8.00000e-02
2.74449e+02 -1.02222e-01 2.74449e+02 8.00000e-02
2.75245e+02 -2.18889e-01 2.75245e+02 8.00000e-02
2.76041e+02 -6.66667e-03 2.76041e+02 8.00000e-02
2.76836e+02 8.33333e-02 2.76836e+02 9.00000e-02
2.77632e+02 1.68889e-01 2.77632e+02 9.00000e-02
2.78427e+02 3.63333e-01 2.78427e+02 9.00000e-02
2.79223e+02 1.94444e-01 2.79223e+02 1.00000e-01
2.80018e+02 1.43333e-01 2.80018e+02 1.00000e-01
2.80813e+02 1.95556e-01 2.80813e+02 1.10000e-01
2.81609e+02 -1.91111e-01 2.81609e+02 1.10000e-01
2.82404e+02 7.88889e-02 2.82404e+02 1.10000e-01
