Wavelength Abs_008
1.97742e+02 0.00000e+00
1.98544e+02 2.00000e-02
1.99347e+02 1.00000e-02
2.00149e+02 1.00000e-02
2.00951e+02 1.00000e-02
2.01753e+02 1.00000e-02
2.02554e+02 1.00000e-02
2.03356e+02 1.00000e-02
2.04158e+02 1.00000e-02
2.04960e+02 1.00000e-02
2.05761e+02 1.00000e-02
2.06563e+02 1.00000e-02
2.07364e+02 1.00000e-02
2.08166e+02 1.00000e-02
2.08967e+02 1.00000e-02
2.09768e+02 1.00000e-02
2.10569e+02 1.00000e-02
2.11370e+02 1.00000e-02
2.12172e+02 1.00000e-02
2.12973e+02 1.00000e-02
2.13773e+02 1.00000e-02
2.14574e+02 1.00000e-02
2.15375e+02 1.00000e-02
2.16176e+02 1.00000e-02
2.16977e+02 1.00000e-02
2.17777e+02 1.00000e-02
2.18578e+02 1.00000e-02
2.19378e+02 1.00000e-02
2.20179e+02 1.00000e-02
2.20979e+02 1.00000e-02
2.21779e+02 1.00000e-02
2.22579e+02 1.00000e-02
2.23380e+02 1.00000e-02
2.24180e+02 1.00000e-02
2.24980e+02 2.00000e-02
2.25780e+02 2.00000e-02
2.26579e+02 2.00000e-02
2.27379e+02 2.00000e-02
2.28179e+02 2.00000e-02
2.28979e+02 2.00000e-02
2.29778e+02 2.00000e-02
2.30578e+02 2.00000e-02
2.31377e+02 2.00000e-02
2.32177e+02 2.00000e-02
2.32976e+02 2.00000e-02
2.33775e+02 2.00000e-02
2.34575e+02 2.00000e-02
2.35374e+02 2.00000e-02
2.36173e+02 2.00000e-02
2.36972e+02 2.00000e-02
2.37771e+02 3.00000e-02
2.38570e+02 3.00000e-02
2.39368e+02 3.00000e-02
2.40167e+02 3.00000e-02
2.40966e+02 3.00000e-02
2.41764e+02 3.00000e-02
2.42563e+02 3.00000e-02
2.43361e+02 3.00000e-02
2.44160e+02 3.00000e-02
2.44958e+02 3.00000e-02
2.45756e+02 4.00000e-02
2.46555e+02 4.00000e-02
2.47353e+02 4.00000e-02
2.48151e+02 4.00000e-02
2.48949e+02 5.00000e-02
2.49747e+02 5.00000e-02
2.50545e+02 5.00000e-02
2.51342e+02 6.00000e-02
2.52140e+02 6.00000e-02
2.52938e+02 7.00000e-02
2.53735e+02 8.00000e-02
2.54533e+02 8.00000e-02
2.55330e+02 9.00000e-02
2.56128e+02 1.00000e-01
2.56925e+02 1.10000e-01
2.57722e+02 1.20000e-01
2.58520e+02 1.30000e-01
2.59317e+02 1.40000e-01
2.60114e+02 1.50000e-01
2.60911e+02 1.60000e-01
2.61708e+02 1.70000e-01
2.62505e+02 1.70000e-01
2.63301e+02 1.80000e-01
2.64098e+02 1.80000e-01
2.64895e+02 1.90000e-01
2.65691e+02 1.90000e-01
2.66488e+02 1.90000e-01
2.67284e+02 2.00000e-01
2.68081e+02 2.00000e-01
2.68877e+02 2.00000e-01
2.69673e+02 2.10000e-01
2.70469e+02 2.10000e-01
2.71265e+02 2.10000e-01
2.72062e+02 2.10000e-01
2.72857e+02 2.10000e-01
2.73653e+02 2.10000e-01
2.74449e+02 2.20000e-01
2.75245e+02 2.20000e-01
2.76041e+02 2.20000e-01
2.76836e+02 2.30000e-01
2.77632e+02 2.40000e-01
2.78427e+02 2.60000e-01
2.79223e+02 2.70000e-01
2.80018e+02 2.80000e-01
2.80813e+02 2.90000e-01
2.81609e+02 2.90000e-01
2.82404e+02 3.00000e-01
2.83199e+02 3.00000e-01
2.83994e+02 3.00000e-01
2.84789e+02 3.00000e-01
2.85584e+02 2.90000e-01
2.86379e+02 2.90000e-01
2.87173e+02 2.90000e-01
2.87968e+02 2.80000e-01
2.88763e+02 2.80000e-01
2.89557e+02 2.80000e-01
2.90352e+02 2.70000e-01
2.91146e+02 2.70000e-01
2.91940e+02 2.60000e-01
2.92735e+02 2.60000e-01
2.93529e+02 2.50000e-01
2.94323e+02 2.50000e-01
2.95117e+02 2.40000e-01
2.95911e+02 2.40000e-01
2.96705e+02 2.30000e-01
2.97499e+02 2.30000e-01
2.98293e+02 2.30000e-01
2.99086e+02 2.20000e-01
2.99880e+02 2.20000e-01
3.00673e+02 2.20000e-01
3.01467e+02 2.10000e-01
3.02260e+02 2.10000e-01
3.03054e+02 2.00000e-01
3.03847e+02 2.00000e-01
3.04640e+02 2.00000e-01
3.05433e+02 1.90000e-01
3.06227e+02 1.90000e-01
3.07020e+02 1.90000e-01
3.07813e+02 1.90000e-01
3.08605e+02 1.80000e-01
3.09398e+02 1.80000e-01
3.10191e+02 1.80000e-01
3.10984e+02 1.80000e-01
3.11776e+02 1.70000e-01
3.12569e+02 1.70000e-01
3.13361e+02 1.70000e-01
3.14154e+02 1.70000e-01
3.14946e+02 1.70000e-01
3.15738e+02 1.70000e-01
3.16530e+02 1.60000e-01
3.17323e+02 1.60000e-01
3.18115e+02 1.60000e-01
3.18907e+02 1.60000e-01
3.19698e+02 1.60000e-01
3.20490e+02 1.60000e-01
3.21282e+02 1.50000e-01
3.22074e+02 1.50000e-01
3.22865e+02 1.50000e-01
3.23657e+02 1.50000e-01
3.24448e+02 1.50000e-01
3.25240e+02 1.50000e-01
3.26031e+02 1.50000e-01
3.26823e+02 1.40000e-01
3.27614e+02 1.40000e-01
3.28405e+02 1.40000e-01
3.29196e+02 1.40000e-01
3.29987e+02 1.40000e-01
3.30778e+02 1.40000e-01
3.31569e+02 1.40000e-01
3.32360e+02 1.40000e-01
3.33150e+02 1.30000e-01
3.33941e+02 1.30000e-01
3.34731e+02 1.30000e-01
3.35522e+02 1.30000e-01
3.36312e+02 1.30000e-01
3.37103e+02 1.30000e-01
3.37893e+02 1.20000e-01
3.38683e+02 1.20000e-01
3.39473e+02 1.20000e-01
3.40264e+02 1.20000e-01
3.41054e+02 1.20000e-01
3.41844e+02 1.20000e-01
3.42633e+02 1.20000e-01
3.43423e+02 1.20000e-01
3.44213e+02 1.20000e-01
3.45003e+02 1.10000e-01
3.45792e+02 1.10000e-01
3.46582e+02 1.10000e-01
3.47371e+02 1.10000e-01
3.48161e+02 1.10000e-01
3.48950e+02 1.10000e-01
3.49739e+02 1.10000e-01
3.50528e+02 1.10000e-01
3.51317e+02 1.10000e-01
3.52106e+02 1.10000e-01
3.52895e+02 1.10000e-01
3.53684e+02 1.10000e-01
3.54473e+02 1.10000e-01
3.55262e+02 1.00000e-01
3.56051e+02 1.00000e-01
3.56839e+02 1.00000e-01
3.57628e+02 1.00000e-01
3.58416e+02 1.00000e-01
3.59205e+02 1.00000e-01
3.59993e+02 1.00000e-01
3.60781e+02 1.00000e-01
3.61569e+02 1.00000e-01
3.62357e+02 1.00000e-01
3.63145e+02 1.00000e-01
3.63933e+02 1.00000e-01
3.64721e+02 1.00000e-01
3.65509e+02 1.00000e-01
3.66297e+02 1.00000e-01
3.67085e+02 9.00000e-02
3.67872e+02 9.00000e-02
3.68660e+02 9.00000e-02
3.69447e+02 9.00000e-02
3.70235e+02 9.00000e-02
3.71022e+02 9.00000e-02
3.71809e+02 8.00000e-02
3.72596e+02 8.00000e-02
3.73383e+02 8.00000e-02
3.74170e+02 8.00000e-02
3.74957e+02 8.00000e-02
3.75744e+02 8.00000e-02
3.76531e+02 8.00000e-02
3.77318e+02 8.00000e-02
3.78105e+02 8.00000e-02
3.78891e+02 8.00000e-02
3.79678e+02 7.00000e-02
3.80464e+02 7.00000e-02
3.81251e+02 7.00000e-02
3.82037e+02 7.00000e-02
3.82823e+02 7.00000e-02
3.83609e+02 7.00000e-02
3.84395e+02 7.00000e-02
3.85181e+02 7.00000e-02
3.85967e+02 7.00000e-02
3.86753e+02 7.00000e-02
3.87539e+02 7.00000e-02
3.88325e+02 7.00000e-02
3.89110e+02 7.00000e-02
3.89896e+02 7.00000e-02
3.90682e+02 6.00000e-02
3.91467e+02 6.00000e-02
3.92252e+02 6.00000e-02
3.93038e+02 6.00000e-02
3.93823e+02 6.00000e-02
3.94608e+02 6.00000e-02
3.95393e+02 6.00000e-02
3.96178e+02 6.00000e-02
3.96963e+02 6.00000e-02
3.97748e+02 6.00000e-02
3.98533e+02 6.00000e-02
3.99318e+02 6.00000e-02
4.00102e+02 6.00000e-02
4.00887e+02 6.00000e-02
4.01671e+02 6.00000e-02
4.02456e+02 6.00000e-02
4.03240e+02 6.00000e-02
4.04025e+02 6.00000e-02
4.04809e+02 5.00000e-02
4.05593e+02 5.00000e-02
4.06377e+02 5.00000e-02
4.07161e+02 5.00000e-02
4.07945e+02 5.00000e-02
4.08729e+02 5.00000e-02
4.09513e+02 5.00000e-02
4.10296e+02 5.00000e-02
4.11080e+02 5.00000e-02
4.11863e+02 5.00000e-02
4.12647e+02 5.00000e-02
4.13430e+02 5.00000e-02
4.14214e+02 5.00000e-02
4.14997e+02 5.00000e-02
4.15780e+02 5.00000e-02
4.16563e+02 5.00000e-02
4.17346e+02 5.00000e-02
4.18129e+02 5.00000e-02
4.18912e+02 5.00000e-02
4.19695e+02 5.00000e-02
4.20478e+02 5.00000e-02
4.21261e+02 5.00000e-02
4.22043e+02 5.00000e-02
4.22826e+02 5.00000e-02
4.23608e+02 5.00000e-02
4.24391e+02 5.00000e-02
4.25173e+02 4.00000e-02
4.25955e+02 4.00000e-02
4.26737e+02 4.00000e-02
4.27520e+02 4.00000e-02
4.28302e+02 4.00000e-02
4.29084e+02 4.00000e-02
4.29865e+02 4.00000e-02
4.30647e+02 4.00000e-02
4.31429e+02 4.00000e-02
4.32211e+02 4.00000e-02
4.32992e+02 4.00000e-02
4.33774e+02 4.00000e-02
4.34555e+02 4.00000e-02
4.35337e+02 4.00000e-02
4.36118e+02 4.00000e-02
4.36899e+02 4.00000e-02
4.37680e+02 4.00000e-02
4.38461e+02 4.00000e-02
4.39242e+02 4.00000e-02
4.40023e+02 4.00000e-02
4.40804e+02 4.00000e-02
4.41585e+02 4.00000e-02
4.42366e+02 4.00000e-02
4.43146e+02 4.00000e-02
4.43927e+02 4.00000e-02
4.44707e+02 4.00000e-02
4.45488e+02 4.00000e-02
4.46268e+02 4.00000e-02
4.47048e+02 4.00000e-02
4.47828e+02 4.00000e-02
4.48609e+02 4.00000e-02
4.49389e+02 4.00000e-02
4.50169e+02 4.00000e-02
4.50948e+02 4.00000e-02
4.51728e+02 4.00000e-02
4.52508e+02 4.00000e-02
4.53288e+02 4.00000e-02
4.54067e+02 4.00000e-02
4.54847e+02 4.00000e-02
4.55626e+02 4.00000e-02
4.56406e+02 3.00000e-02
4.57185e+02 3.00000e-02
4.57964e+02 3.00000e-02
4.58743e+02 3.00000e-02
4.59522e+02 3.00000e-02
4.60301e+02 3.00000e-02
4.61080e+02 3.00000e-02
4.61859e+02 3.00000e-02
4.62638e+02 3.00000e-02
4.63417e+02 3.00000e-02
4.64195e+02 3.00000e-02
4.64974e+02 3.00000e-02
4.65752e+02 3.00000e-02
4.66531e+02 3.00000e-02
4.67309e+02 3.00000e-02
4.68087e+02 3.00000e-02
4.68865e+02 3.00000e-02
4.69644e+02 3.00000e-02
4.70422e+02 3.00000e-02
4.71200e+02 3.00000e-02
4.71977e+02 3.00000e-02
4.72755e+02 3.00000e-02
4.73533e+02 3.00000e-02
