Wavelength Dark Reference Sample Absorbance
1.97742e+02 1.31528e+01 4.87500e+00 3.40278e+00 -7.10909e-02
1.98544e+02 -2.91667e-01 -9.90278e+00 -8.59722e+00 6.34049e-02
1.99347e+02 -1.84722e+00 -1.33472e+01 -1.25972e+01 2.92894e-02
2.00149e+02 -4.18056e+00 -1.32361e+01 -1.27083e+01 2.60792e-02
2.00951e+02 -3.51389e+00 3.38208e+02 3.29181e+02 1.16277e-02
2.01753e+02 -3.18056e+00 3.48653e+02 3.27403e+02 2.70560e-02
2.02554e+02 -1.95833e+00 3.48431e+02 3.36514e+02 1.50273e-02
2.03356e+02 -2.91667e-01 3.59208e+02 3.45514e+02 1.68669e-02
2.04158e+02 -1.62500e+00 3.62431e+02 3.55847e+02 7.92536e-03
2.04960e+02 1.52778e-01 3.70542e+02 3.60181e+02 1.23219e-02
2.05761e+02 -1.06944e+00 3.74764e+02 3.61625e+02 1.54544e-02
2.06563e+02 -7.36111e-01 3.76097e+02 3.69403e+02 7.78460e-03
2.07364e+02 -1.40278e+00 3.81764e+02 3.74736e+02 8.03948e-03
2.08166e+02 -2.18056e+00 3.92319e+02 3.71847e+02 2.31432e-02
2.08967e+02 -1.40278e+00 3.92431e+02 3.81847e+02 1.18303e-02
2.09768e+02 -2.40278e+00 3.95653e+02 3.81625e+02 1.55811e-02
2.10569e+02 -1.73611e+00 3.98208e+02 3.83736e+02 1.60066e-02
2.11370e+02 -1.84722e+00 4.00208e+02 3.88847e+02 1.24488e-02
2.12172e+02 -1.06944e+00 4.02653e+02 3.92847e+02 1.06783e-02
2.12973e+02 -5.13889e-01 4.05653e+02 3.89736e+02 1.73614e-02
2.13773e+02 -4.02778e-01 4.05986e+02 3.95736e+02 1.10943e-02
2.14574e+02 -1.29167e+00 4.10986e+02 3.96625e+02 1.53978e-02
2.15375e+02 -6.94444e-02 4.11542e+02 4.02181e+02 9.99104e-03
2.16176e+02 -1.84722e+00 4.14208e+02 3.99958e+02 1.51354e-02
2.16977e+02 1.52778e-01 4.13319e+02 3.93514e+02 2.13339e-02
2.17777e+02 -1.84722e+00 4.19875e+02 4.01181e+02 1.96915e-02
2.18578e+02 -1.95833e+00 4.14431e+02 4.01625e+02 1.35659e-02
2.19378e+02 -1.18056e+00 4.21431e+02 4.05736e+02 1.64354e-02
2.20179e+02 9.30556e-01 4.24097e+02 4.09403e+02 1.53489e-02
2.20979e+02 2.63889e-01 4.19986e+02 4.01847e+02 1.91863e-02
2.21779e+02 -1.18056e+00 4.18653e+02 4.01625e+02 1.79815e-02
2.22579e+02 -6.25000e-01 4.18097e+02 4.04292e+02 1.45604e-02
2.23380e+02 -1.80556e-01 4.23097e+02 4.07847e+02 1.59357e-02
2.24180e+02 2.63889e-01 4.27097e+02 4.03069e+02 2.51629e-02
2.24980e+02 -2.91667e-01 4.22986e+02 4.04403e+02 1.94982e-02
2.25780e+02 -8.47222e-01 4.19653e+02 3.97958e+02 2.30048e-02
2.26579e+02 4.16667e-02 4.10875e+02 3.93514e+02 1.87516e-02
2.27379e+02 3.75000e-01 4.02875e+02 3.86736e+02 1.77725e-02
2.28179e+02 -5.13889e-01 4.00986e+02 3.81403e+02 2.17169e-02
2.28979e+02 -6.25000e-01 3.89986e+02 3.73847e+02 1.83250e-02
2.29778e+02 4.16667e-02 3.82764e+02 3.61181e+02 2.52094e-02
2.30578e+02 -8.47222e-01 3.71319e+02 3.49403e+02 2.63593e-02
2.31377e+02 -6.25000e-01 3.56653e+02 3.34403e+02 2.79252e-02
2.32177e+02 -4.02778e-01 3.48319e+02 3.26736e+02 2.77474e-02
2.32976e+02 -1.73611e+00 3.45542e+02 3.19292e+02 3.41344e-02
2.33775e+02 -5.13889e-01 3.51653e+02 3.21292e+02 3.91547e-02
2.34575e+02 -8.47222e-01 3.52431e+02 3.21514e+02 3.97737e-02
2.35374e+02 -5.13889e-01 3.57431e+02 3.25181e+02 4.10053e-02
2.36173e+02 3.75000e-01 3.63431e+02 3.31958e+02 3.93804e-02
2.36972e+02 -1.73611e+00 3.72431e+02 3.40403e+02 3.88627e-02
2.37771e+02 -1.84722e+00 3.92653e+02 3.52847e+02 4.61926e-02
2.38570e+02 -7.36111e-01 4.03097e+02 3.62403e+02 4.61294e-02
2.39368e+02 -4.02778e-01 4.16319e+02 3.72403e+02 4.83643e-02
2.40167e+02 -6.94444e-02 4.36097e+02 3.91181e+02 4.71981e-02
2.40966e+02 -1.18056e+00 4.50986e+02 4.05958e+02 4.55560e-02
2.41764e+02 -6.94444e-02 4.71542e+02 4.18958e+02 5.13412e-02
2.42563e+02 -8.47222e-01 4.86986e+02 4.31736e+02 5.22017e-02
2.43361e+02 1.15278e+00 4.99208e+02 4.41181e+02 5.37977e-02
2.44160e+02 -6.25000e-01 5.08431e+02 4.41958e+02 6.07701e-02
2.44958e+02 -8.47222e-01 5.08319e+02 4.38958e+02 6.35993e-02
2.45756e+02 -6.25000e-01 5.04875e+02 4.34958e+02 6.46499e-02
2.46555e+02 -1.18056e+00 5.06764e+02 4.28292e+02 7.28811e-02
2.47353e+02 -1.62500e+00 4.97653e+02 4.24514e+02 6.87911e-02
2.48151e+02 -5.13889e-01 4.99653e+02 4.14403e+02 8.11539e-02
2.48949e+02 -8.47222e-01 4.93431e+02 4.05181e+02 8.54153e-02
2.49747e+02 4.86111e-01 4.97764e+02 3.98514e+02 9.66857e-02
2.50545e+02 7.08333e-01 4.97431e+02 3.94403e+02 1.00954e-01
2.51342e+02 -5.13889e-01 4.89875e+02 3.81958e+02 1.07941e-01
2.52140e+02 3.75000e-01 4.83097e+02 3.72625e+02 1.12863e-01
2.52938e+02 -1.80556e-01 4.78097e+02 3.63514e+02 1.18944e-01
2.53735e+02 7.08333e-01 4.72208e+02 3.49292e+02 1.31175e-01
2.54533e+02 -1.51389e+00 4.62319e+02 3.39181e+02 1.33997e-01
2.55330e+02 -8.47222e-01 4.56431e+02 3.20847e+02 1.52737e-01
2.56128e+02 4.16667e-02 4.43097e+02 3.08403e+02 1.57399e-01
2.56925e+02 -7.36111e-01 4.35319e+02 2.99847e+02 1.61577e-01
2.57722e+02 -1.51389e+00 4.37097e+02 2.89292e+02 1.78477e-01
2.58520e+02 2.63889e-01 4.38431e+02 2.83736e+02 1.89129e-01
2.59317e+02 -2.91667e-01 4.43097e+02 2.81181e+02 1.97349e-01
2.60114e+02 -7.36111e-01 4.50319e+02 2.76847e+02 2.10837e-01
2.60911e+02 3.75000e-01 4.49431e+02 2.76403e+02 2.11347e-01
2.61708e+02 -1.06944e+00 4.62208e+02 2.76736e+02 2.22101e-01
2.62505e+02 -4.02778e-01 4.76542e+02 2.73514e+02 2.40849e-01
2.63301e+02 -1.40278e+00 4.86986e+02 2.87847e+02 2.27492e-01
2.64098e+02 -4.02778e-01 5.01319e+02 2.91403e+02 2.35370e-01
2.64895e+02 -1.62500e+00 5.20653e+02 2.92181e+02 2.49842e-01
2.65691e+02 -5.13889e-01 5.42875e+02 2.99514e+02 2.57949e-01
2.66488e+02 -4.02778e-01 5.65431e+02 3.13736e+02 2.55567e-01
2.67284e+02 -5.13889e-01 5.90208e+02 3.24181e+02 2.59908e-01
2.68081e+02 1.52778e-01 6.16875e+02 3.31403e+02 2.69934e-01
2.68877e+02 -1.06944e+00 6.42431e+02 3.44514e+02 2.69996e-01
2.69673e+02 4.16667e-02 6.74986e+02 3.59847e+02 2.73200e-01
2.70469e+02 -4.02778e-01 6.95431e+02 3.70736e+02 2.72969e-01
2.71265e+02 2.63889e-01 7.20208e+02 3.81958e+02 2.75583e-01
2.72062e+02 -9.58333e-01 7.44097e+02 3.96736e+02 2.72639e-01
2.72857e+02 7.08333e-01 7.76653e+02 4.08403e+02 2.79496e-01
2.73653e+02 -6.25000e-01 8.08542e+02 4.21514e+02 2.82583e-01
2.74449e+02 9.30556e-01 8.35431e+02 4.34625e+02 2.84242e-01
2.75245e+02 1.52778e-01 8.72319e+02 4.49625e+02 2.87897e-01
2.76041e+02 5.97222e-01 9.05875e+02 4.61403e+02 2.93264e-01
2.76836e+02 -6.25000e-01 9.37764e+02 4.84069e+02 2.86915e-01
2.77632e+02 4.16667e-02 9.68986e+02 4.96181e+02 2.90696e-01
2.78427e+02 -1.80556e-01 9.97542e+02 5.12736e+02 2.88963e-01
2.79223e+02 -2.91667e-01 1.04643e+03 5.29958e+02 2.95351e-01
2.80018e+02 -4.02778e-01 1.13954e+03 5.73292e+02 2.98203e-01
2.80813e+02 -1.80556e-01 1.39765e+03 6.54403e+02 3.29490e-01
