Wavelength Dark Reference Sample Absorbance
1.97742e+02 1.43472e+01 5.20833e+00 3.61111e+00 -6.99536e-02
1.98544e+02 1.38889e-02 -9.45833e+00 -9.16667e+00 1.35829e-02
1.99347e+02 -2.20833e+00 -1.16806e+01 -1.26111e+01 -4.06974e-02
2.00149e+02 -2.87500e+00 -1.39028e+01 -1.30556e+01 3.47165e-02
2.00951e+02 -3.09722e+00 7.34097e+02 3.87722e+02 2.75606e-01
2.01753e+02 -3.54167e+00 7.63097e+02 3.94500e+02 2.84662e-01
2.02554e+02 -3.20833e+00 7.88208e+02 4.01944e+02 2.90786e-01
2.03356e+02 -1.43056e+00 8.11097e+02 4.17056e+02 2.88157e-01
2.04158e+02 -8.75000e-01 8.35542e+02 4.13278e+02 3.05262e-01
2.04960e+02 1.38889e-02 8.72764e+02 4.22944e+02 3.14621e-01
2.05761e+02 -7.63889e-01 8.91875e+02 4.33389e+02 3.13033e-01
2.06563e+02 -1.09722e+00 9.26875e+02 4.35500e+02 3.27454e-01
2.07364e+02 -2.20833e+00 9.61097e+02 4.39722e+02 3.38410e-01
2.08166e+02 -1.09722e+00 9.96764e+02 4.49722e+02 3.45067e-01
2.08967e+02 -1.43056e+00 1.02588e+03 4.53389e+02 3.53861e-01
2.09768e+02 -2.54167e+00 1.05888e+03 4.58389e+02 3.62250e-01
2.10569e+02 -7.63889e-01 1.09165e+03 4.63944e+02 3.71208e-01
2.11370e+02 -1.20833e+00 1.13265e+03 4.68500e+02 3.82732e-01
2.12172e+02 -6.52778e-01 1.17021e+03 4.78722e+02 3.87830e-01
2.12973e+02 -9.72222e-02 1.21832e+03 4.83500e+02 4.01312e-01
2.13773e+02 -2.08333e-01 1.27410e+03 4.90500e+02 4.14450e-01
2.14574e+02 -4.30556e-01 1.34254e+03 4.97833e+02 4.30608e-01
2.15375e+02 -9.86111e-01 1.44699e+03 4.98722e+02 4.62044e-01
2.16176e+02 -9.86111e-01 1.61410e+03 5.10944e+02 4.98984e-01
2.16977e+02 -3.19444e-01 1.85276e+03 5.15500e+02 5.55397e-01
2.17777e+02 -9.72222e-02 2.22354e+03 5.24722e+02 6.27054e-01
2.18578e+02 -2.08333e-01 2.74054e+03 5.45500e+02 7.00909e-01
2.19378e+02 -1.43056e+00 3.38754e+03 5.58389e+02 7.82020e-01
2.20179e+02 4.58333e-01 4.10265e+03 5.74944e+02 8.53737e-01
2.20979e+02 -7.63889e-01 4.94021e+03 5.97167e+02 9.17162e-01
2.21779e+02 -2.08333e-01 5.91521e+03 6.25944e+02 9.75305e-01
2.22579e+02 -1.09722e+00 6.98188e+03 6.69833e+02 1.01736e+00
2.23380e+02 -7.63889e-01 8.02954e+03 7.16278e+02 1.04919e+00
2.24180e+02 2.36111e-01 9.13754e+03 7.91278e+02 1.06262e+00
2.24980e+02 -1.65278e+00 1.03031e+04 8.63944e+02 1.07572e+00
2.25780e+02 -6.52778e-01 1.16237e+04 9.53500e+02 1.08575e+00
2.26579e+02 -9.86111e-01 1.28747e+04 1.05428e+03 1.08641e+00
2.27379e+02 -3.19444e-01 1.39785e+04 1.18006e+03 1.07345e+00
2.28179e+02 1.38889e-02 1.49643e+04 1.29017e+03 1.06442e+00
2.28979e+02 -2.08333e-01 1.58071e+04 1.38872e+03 1.05618e+00
2.29778e+02 -3.19444e-01 1.66863e+04 1.48728e+03 1.04988e+00
2.30578e+02 3.47222e-01 1.75132e+04 1.56250e+03 1.04963e+00
2.31377e+02 -1.87500e+00 1.82972e+04 1.59006e+03 1.06051e+00
2.32177e+02 -3.19444e-01 1.89821e+04 1.59361e+03 1.07588e+00
2.32976e+02 -5.41667e-01 1.96952e+04 1.57572e+03 1.09674e+00
2.33775e+02 -2.08333e-01 2.03512e+04 1.53039e+03 1.12373e+00
2.34575e+02 -2.08333e-01 2.09012e+04 1.46950e+03 1.15294e+00
2.35374e+02 -9.72222e-02 2.13319e+04 1.37706e+03 1.19005e+00
2.36173e+02 2.36111e-01 2.15365e+04 1.29750e+03 1.22014e+00
2.36972e+02 -8.75000e-01 2.15421e+04 1.20294e+03 1.25274e+00
2.37771e+02 -5.41667e-01 2.13400e+04 1.11683e+03 1.28101e+00
2.38570e+02 -4.30556e-01 2.10200e+04 1.05539e+03 1.29905e+00
2.39368e+02 -7.63889e-01 2.05923e+04 1.01772e+03 1.30577e+00
2.40167e+02 -4.30556e-01 2.01647e+04 9.88278e+02 1.30953e+00
2.40966e+02 -9.72222e-02 2.00323e+04 9.66500e+02 1.31649e+00
2.41764e+02 4.58333e-01 2.03015e+04 9.76944e+02 1.31785e+00
2.42563e+02 -8.75000e-01 2.08491e+04 9.79833e+02 1.32757e+00
2.43361e+02 -9.86111e-01 2.12930e+04 1.00550e+03 1.32545e+00
2.44160e+02 -6.52778e-01 2.14354e+04 1.01661e+03 1.32371e+00
2.44958e+02 -9.72222e-02 2.09772e+04 1.03917e+03 1.30502e+00
2.45756e+02 -5.41667e-01 2.00065e+04 1.04817e+03 1.28053e+00
2.46555e+02 6.80556e-01 1.85318e+04 1.06328e+03 1.24153e+00
2.47353e+02 -4.30556e-01 1.69869e+04 1.07806e+03 1.19731e+00
2.48151e+02 -4.30556e-01 1.56009e+04 1.10306e+03 1.15039e+00
2.48949e+02 -1.65278e+00 1.48357e+04 1.11972e+03 1.12160e+00
2.49747e+02 -1.98611e+00 1.50580e+04 1.13906e+03 1.12052e+00
2.50545e+02 -7.63889e-01 1.63195e+04 1.17583e+03 1.14210e+00
2.51342e+02 -9.72222e-02 1.81650e+04 1.19783e+03 1.18081e+00
2.52140e+02 -5.41667e-01 2.00492e+04 1.22328e+03 1.21439e+00
2.52938e+02 -7.63889e-01 2.16671e+04 1.24861e+03 1.23912e+00
2.53735e+02 1.38889e-02 2.31224e+04 1.28228e+03 1.25606e+00
2.54533e+02 1.38889e-02 2.45389e+04 1.30950e+03 1.27275e+00
2.55330e+02 -1.20833e+00 2.59208e+04 1.38428e+03 1.27207e+00
2.56128e+02 -4.30556e-01 2.72235e+04 1.48928e+03 1.26185e+00
