Wavelength Dark Reference Sample Absorbance
1.97742e+02 1.71878e+03 1.72011e+03 1.08333e+01 3.43582e-01
1.98544e+02 1.70600e+03 1.70733e+03 -3.50000e+00 2.45727e-01
1.99347e+02 1.70300e+03 1.70333e+03 -4.27778e+00 -4.04612e-02
2.00149e+02 1.70156e+03 1.70200e+03 -5.94444e+00 1.20605e+00
2.00951e+02 1.71256e+03 2.10411e+03 1.49278e+02 4.31478e-01
2.01753e+02 1.71289e+03 2.11011e+03 1.55278e+02 4.23952e-01
2.02554e+02 1.71678e+03 2.12756e+03 1.59278e+02 4.36107e-01
2.03356e+02 1.71767e+03 2.12767e+03 1.66500e+02 4.20846e-01
2.04158e+02 1.71800e+03 2.13856e+03 1.70500e+02 4.36959e-01
2.04960e+02 1.71833e+03 2.14089e+03 1.68611e+02 4.19854e-01
2.05761e+02 1.71956e+03 2.14989e+03 1.70278e+02 4.25420e-01
2.06563e+02 1.72178e+03 2.15133e+03 1.74500e+02 4.25503e-01
2.07364e+02 1.71867e+03 2.16033e+03 1.74056e+02 4.28739e-01
2.08166e+02 1.72111e+03 2.16189e+03 1.78833e+02 4.38137e-01
2.08967e+02 1.72222e+03 2.16522e+03 1.78944e+02 4.16663e-01
2.09768e+02 1.72078e+03 2.16856e+03 1.79944e+02 4.41260e-01
2.10569e+02 1.71756e+03 2.16967e+03 1.79611e+02 4.21019e-01
2.11370e+02 1.71967e+03 2.17289e+03 1.85722e+02 4.14044e-01
2.12172e+02 1.72189e+03 2.18333e+03 1.88611e+02 4.21996e-01
2.12973e+02 1.71956e+03 2.18633e+03 1.84722e+02 4.37055e-01
2.13773e+02 1.72267e+03 2.18456e+03 1.88500e+02 4.35217e-01
2.14574e+02 1.72533e+03 2.18544e+03 1.93389e+02 4.33721e-01
2.15375e+02 1.72178e+03 2.18511e+03 1.90944e+02 4.27884e-01
2.16176e+02 1.72089e+03 2.19056e+03 1.88167e+02 4.36664e-01
2.16977e+02 1.72267e+03 2.19411e+03 1.89500e+02 4.24261e-01
2.17777e+02 1.72256e+03 2.20089e+03 1.90389e+02 4.32662e-01
2.18578e+02 1.72300e+03 2.19489e+03 1.89167e+02 4.23484e-01
2.19378e+02 1.72300e+03 2.19656e+03 1.94722e+02 4.25922e-01
2.20179e+02 1.72489e+03 2.20089e+03 1.95278e+02 4.33334e-01
2.20979e+02 1.72400e+03 2.19811e+03 1.90056e+02 4.38318e-01
2.21779e+02 1.72678e+03 2.19744e+03 1.91944e+02 4.21304e-01
2.22579e+02 1.72333e+03 2.19311e+03 1.90389e+02 4.37269e-01
2.23380e+02 1.72189e+03 2.19833e+03 1.88167e+02 4.37546e-01
2.24180e+02 1.72700e+03 2.20422e+03 1.93944e+02 4.58641e-01
2.24980e+02 1.72411e+03 2.20667e+03 1.96611e+02 4.25573e-01
2.25780e+02 1.72511e+03 2.19133e+03 1.86944e+02 4.31645e-01
2.26579e+02 1.72411e+03 2.18911e+03 1.85500e+02 4.45956e-01
2.27379e+02 1.72644e+03 2.17222e+03 1.80833e+02 4.37885e-01
2.28179e+02 1.73589e+03 2.17356e+03 1.87722e+02 4.33824e-01
2.28979e+02 1.72600e+03 2.15900e+03 1.78056e+02 4.21420e-01
2.29778e+02 1.72522e+03 2.14656e+03 1.69167e+02 4.36802e-01
2.30578e+02 1.72600e+03 2.13689e+03 1.65389e+02 4.47251e-01
2.31377e+02 1.72644e+03 2.12567e+03 1.59056e+02 4.50741e-01
2.32177e+02 1.72222e+03 2.11989e+03 1.53389e+02 4.43622e-01
2.32976e+02 1.72389e+03 2.12144e+03 1.52167e+02 4.51114e-01
2.33775e+02 1.72611e+03 2.12900e+03 1.53389e+02 4.73311e-01
2.34575e+02 1.72400e+03 2.13556e+03 1.57167e+02 4.67773e-01
2.35374e+02 1.72322e+03 2.13311e+03 1.54722e+02 4.67965e-01
2.36173e+02 1.72833e+03 2.14989e+03 1.59944e+02 4.62903e-01
2.36972e+02 1.72678e+03 2.15822e+03 1.64833e+02 4.46781e-01
2.37771e+02 1.72422e+03 2.16922e+03 1.68167e+02 4.81167e-01
2.38570e+02 1.72333e+03 2.18911e+03 1.71278e+02 4.79807e-01
2.39368e+02 1.72478e+03 2.20078e+03 1.76056e+02 4.81244e-01
2.40167e+02 1.72511e+03 2.21856e+03 1.83722e+02 4.84593e-01
2.40966e+02 1.72578e+03 2.23433e+03 1.87167e+02 4.73807e-01
2.41764e+02 1.72433e+03 2.24967e+03 1.95611e+02 4.58498e-01
2.42563e+02 1.72300e+03 2.26156e+03 1.94500e+02 4.76398e-01
2.43361e+02 1.72322e+03 2.26178e+03 1.95167e+02 4.80503e-01
2.44160e+02 1.72300e+03 2.27067e+03 1.97611e+02 4.64945e-01
2.44958e+02 1.72256e+03 2.27867e+03 1.94278e+02 4.88920e-01
2.45756e+02 1.72389e+03 2.27522e+03 1.90500e+02 5.12726e-01
2.46555e+02 1.72211e+03 2.27500e+03 1.88944e+02 4.93590e-01
2.47353e+02 1.72422e+03 2.27444e+03 1.85500e+02 5.03412e-01
2.48151e+02 1.72467e+03 2.27356e+03 1.81167e+02 5.29012e-01
2.48949e+02 1.72111e+03 2.26722e+03 1.69167e+02 5.50602e-01
2.49747e+02 1.72500e+03 2.26000e+03 1.68389e+02 5.49006e-01
2.50545e+02 1.72622e+03 2.26078e+03 1.66056e+02 5.64478e-01
2.51342e+02 1.72422e+03 2.25411e+03 1.59722e+02 5.73709e-01
2.52140e+02 1.72500e+03 2.25656e+03 1.51722e+02 5.74338e-01
2.52938e+02 1.72344e+03 2.24600e+03 1.39833e+02 6.36008e-01
2.53735e+02 1.72867e+03 2.24544e+03 1.42500e+02 6.31617e-01
2.54533e+02 1.72522e+03 2.23744e+03 1.27611e+02 6.75138e-01
2.55330e+02 1.72367e+03 2.22900e+03 1.21389e+02 7.16131e-01
2.56128e+02 1.72456e+03 2.22133e+03 1.11389e+02 7.35668e-01
2.56925e+02 1.72378e+03 2.21444e+03 9.95000e+01 7.71389e-01
2.57722e+02 1.72444e+03 2.21078e+03 9.59444e+01 8.14163e-01
2.58520e+02 1.72111e+03 2.21544e+03 8.89444e+01 8.50496e-01
2.59317e+02 1.72056e+03 2.21611e+03 8.05000e+01 8.70669e-01
2.60114e+02 1.72456e+03 2.23122e+03 7.97222e+01 9.39136e-01
2.60911e+02 1.72522e+03 2.24244e+03 7.79444e+01 9.31530e-01
2.61708e+02 1.72244e+03 2.25356e+03 7.71667e+01 9.26966e-01
2.62505e+02 1.72578e+03 2.27067e+03 7.71667e+01 9.95795e-01
2.63301e+02 1.72411e+03 2.28589e+03 7.06111e+01 1.02986e+00
2.64098e+02 1.72311e+03 2.30178e+03 7.15000e+01 1.01039e+00
2.64895e+02 1.72633e+03 2.32744e+03 7.26111e+01 1.06122e+00
2.65691e+02 1.72100e+03 2.34833e+03 6.82778e+01 1.07529e+00
2.66488e+02 1.72333e+03 2.37656e+03 7.00556e+01 1.10940e+00
2.67284e+02 1.72333e+03 2.40144e+03 6.63889e+01 1.12738e+00
2.68081e+02 1.72267e+03 2.42800e+03 6.81667e+01 1.17008e+00
2.68877e+02 1.72411e+03 2.46033e+03 6.96111e+01 1.15676e+00
2.69673e+02 1.72333e+03 2.48722e+03 6.57222e+01 1.22811e+00
2.70469e+02 1.72422e+03 2.52578e+03 6.76111e+01 1.25548e+00
2.71265e+02 1.72456e+03 2.56244e+03 6.81667e+01 1.21071e+00
2.72062e+02 1.72344e+03 2.59011e+03 6.92778e+01 1.20434e+00
2.72857e+02 1.72333e+03 2.63333e+03 6.93889e+01 1.28032e+00
2.73653e+02 1.72233e+03 2.66600e+03 6.52778e+01 1.31588e+00
2.74449e+02 1.72633e+03 2.71167e+03 6.79444e+01 1.35251e+00
2.75245e+02 1.72400e+03 2.73522e+03 6.43889e+01 1.31198e+00
2.76041e+02 1.72400e+03 2.76811e+03 6.51667e+01 1.36624e+00
2.76836e+02 1.72278e+03 2.82233e+03 6.56111e+01 1.35168e+00
2.77632e+02 1.72667e+03 2.89411e+03 6.68333e+01 1.42696e+00
2.78427e+02 1.72433e+03 3.10956e+03 6.92778e+01 1.48415e+00
2.79223e+02 1.72289e+03 3.68856e+03 6.81667e+01 1.58956e+00
2.80018e+02 1.72022e+03 4.87100e+03 7.47222e+01 1.72663e+00
2.80813e+02 1.72744e+03 6.45111e+03 8.01667e+01 1.91675e+00
2.81609e+02 1.72267e+03 7.95489e+03 8.29444e+01 1.99669e+00
2.82404e+02 1.72544e+03 8.93811e+03 8.82778e+01 2.00830e+00
2.83199e+02 1.72200e+03 9.95678e+03 9.15000e+01 2.02660e+00
2.83994e+02 1.72611e+03 1.22042e+04 1.06056e+02 2.07187e+00
2.84789e+02 1.72600e+03 1.51193e+04 1.17944e+02 2.14883e+00
2.85584e+02 1.72522e+03 1.71520e+04 1.30056e+02 2.15689e+00
2.86379e+02 1.72544e+03 1.84130e+04 1.40611e+02 2.14742e+00
2.87173e+02 1.72567e+03 1.91451e+04 1.50278e+02 2.12318e+00
2.87968e+02 1.72367e+03 1.97018e+04 1.58056e+02 2.12037e+00
2.88763e+02 1.72356e+03 2.01198e+04 1.66056e+02 2.09356e+00
2.89557e+02 1.73011e+03 2.03616e+04 1.78389e+02 2.07949e+00
2.90352e+02 1.72556e+03 2.06093e+04 1.82944e+02 2.05877e+00
2.91146e+02 1.72533e+03 2.09421e+04 1.91167e+02 2.05247e+00
2.91940e+02 1.72700e+03 2.13302e+04 2.05167e+02 2.02479e+00
2.92735e+02 1.72578e+03 2.18622e+04 2.17833e+02 2.01305e+00
2.93529e+02 1.72567e+03 2.23323e+04 2.31278e+02 1.98784e+00
2.94323e+02 1.72567e+03 2.28427e+04 2.42500e+02 1.96466e+00
2.95117e+02 1.72678e+03 2.31391e+04 2.61722e+02 1.94819e+00
2.95911e+02 1.72433e+03 2.32503e+04 2.71167e+02 1.93669e+00
2.96705e+02 1.72378e+03 2.31740e+04 2.81056e+02 1.90955e+00
2.97499e+02 1.72356e+03 2.29361e+04 2.93167e+02 1.88670e+00
2.98293e+02 1.72222e+03 2.25014e+04 3.03500e+02 1.85329e+00
2.99086e+02 1.72667e+03 2.19967e+04 3.07833e+02 1.84279e+00
2.99880e+02 1.72500e+03 2.12942e+04 3.09944e+02 1.82759e+00
3.00673e+02 1.72511e+03 2.05686e+04 3.18056e+02 1.80324e+00
3.01467e+02 1.72411e+03 1.97360e+04 3.18389e+02 1.77943e+00
3.02260e+02 1.72322e+03 1.88980e+04 3.14500e+02 1.76066e+00
3.03054e+02 1.72422e+03 1.81823e+04 3.22833e+02 1.74107e+00
3.03847e+02 1.72500e+03 1.78553e+04 3.31167e+02 1.72401e+00
3.04640e+02 1.72389e+03 1.80376e+04 3.48389e+02 1.69325e+00
3.05433e+02 1.72367e+03 1.86576e+04 3.71944e+02 1.67849e+00
3.06227e+02 1.73222e+03 1.95424e+04 4.11056e+02 1.66050e+00
3.07020e+02 1.72422e+03 2.02531e+04 4.33389e+02 1.64845e+00
3.07813e+02 1.72389e+03 2.05279e+04 4.49611e+02 1.63660e+00
3.08605e+02 1.72156e+03 2.01804e+04 4.64722e+02 1.61667e+00
3.09398e+02 1.72267e+03 1.92162e+04 4.56722e+02 1.59907e+00
3.10191e+02 1.72322e+03 1.80900e+04 4.51500e+02 1.57494e+00
3.10984e+02 1.72400e+03 1.78152e+04 4.57500e+02 1.56621e+00
3.11776e+02 1.72222e+03 1.89231e+04 4.92611e+02 1.55369e+00
3.12569e+02 1.72456e+03 2.04804e+04 5.48167e+02 1.54539e+00
3.13361e+02 1.72511e+03 2.17351e+04 5.92611e+02 1.54388e+00
3.14154e+02 1.72589e+03 2.24341e+04 6.29833e+02 1.53140e+00
3.14946e+02 1.72311e+03 2.27007e+04 6.47056e+02 1.52454e+00
3.15738e+02 1.72500e+03 2.26748e+04 6.66056e+02 1.51014e+00
3.16530e+02 1.72633e+03 2.25289e+04 6.72056e+02 1.50453e+00
3.17323e+02 1.72567e+03 2.21703e+04 6.77389e+02 1.49541e+00
3.18115e+02 1.72322e+03 2.17503e+04 6.71944e+02 1.49278e+00
3.18907e+02 1.72344e+03 2.12217e+04 6.66278e+02 1.47225e+00
3.19698e+02 1.72667e+03 2.07410e+04 6.61056e+02 1.46900e+00
3.20490e+02 1.72389e+03 2.02269e+04 6.55278e+02 1.46149e+00
3.21282e+02 1.72378e+03 1.98239e+04 6.53833e+02 1.45356e+00
3.22074e+02 1.72456e+03 1.95133e+04 6.60944e+02 1.44411e+00
3.22865e+02 1.72289e+03 1.93156e+04 6.66722e+02 1.43233e+00
3.23657e+02 1.72711e+03 1.92554e+04 6.74167e+02 1.43151e+00
3.24448e+02 1.72533e+03 1.93567e+04 6.82278e+02 1.42661e+00
3.25240e+02 1.72267e+03 1.95122e+04 6.98389e+02 1.41574e+00
3.26031e+02 1.72356e+03 1.96326e+04 7.12611e+02 1.41433e+00
3.26823e+02 1.72544e+03 1.97278e+04 7.27056e+02 1.40229e+00
3.27614e+02 1.72344e+03 1.96820e+04 7.33389e+02 1.40044e+00
3.28405e+02 1.72867e+03 1.96596e+04 7.45278e+02 1.39591e+00
3.29196e+02 1.72300e+03 1.96498e+04 7.45833e+02 1.39420e+00
3.29987e+02 1.72344e+03 1.98552e+04 7.64167e+02 1.38882e+00
3.30778e+02 1.72578e+03 2.03580e+04 7.96611e+02 1.38336e+00
3.31569e+02 1.72056e+03 2.10114e+04 8.17500e+02 1.38100e+00
3.32360e+02 1.72367e+03 2.14969e+04 8.52944e+02 1.37649e+00
3.33150e+02 1.72800e+03 2.17392e+04 8.74833e+02 1.37294e+00
3.33941e+02 1.72522e+03 2.17621e+04 8.77389e+02 1.36738e+00
3.34731e+02 1.72467e+03 2.16604e+04 8.88278e+02 1.35965e+00
3.35522e+02 1.72667e+03 2.16119e+04 9.02500e+02 1.35390e+00
3.36312e+02 1.72367e+03 2.18023e+04 9.19944e+02 1.34964e+00
3.37103e+02 1.72422e+03 2.22157e+04 9.48611e+02 1.34032e+00
3.37893e+02 1.72522e+03 2.25392e+04 9.78833e+02 1.33742e+00
3.38683e+02 1.72444e+03 2.26802e+04 1.00361e+03 1.32821e+00
3.39473e+02 1.72678e+03 2.25892e+04 1.00672e+03 1.32642e+00
3.40264e+02 1.72589e+03 2.24091e+04 1.00850e+03 1.32051e+00
3.41054e+02 1.72267e+03 2.22051e+04 1.01594e+03 1.31365e+00
3.41844e+02 1.72578e+03 2.18718e+04 1.01628e+03 1.30736e+00
3.42633e+02 1.72311e+03 2.14406e+04 1.01450e+03 1.29680e+00
3.43423e+02 1.72356e+03 2.09066e+04 1.00306e+03 1.29192e+00
3.44213e+02 1.72789e+03 2.03728e+04 9.93944e+02 1.28273e+00
3.45003e+02 1.72533e+03 1.99329e+04 9.89833e+02 1.27580e+00
3.45792e+02 1.72433e+03 1.96107e+04 9.87500e+02 1.26639e+00
3.46582e+02 1.72411e+03 1.94144e+04 9.86389e+02 1.26211e+00
3.47371e+02 1.72433e+03 1.92706e+04 9.95389e+02 1.25400e+00
3.48161e+02 1.72589e+03 1.92342e+04 1.01894e+03 1.24221e+00
3.48950e+02 1.72700e+03 1.91400e+04 1.02961e+03 1.23740e+00
3.49739e+02 1.72522e+03 1.90753e+04 1.03461e+03 1.23342e+00
3.50528e+02 1.72244e+03 1.89400e+04 1.05039e+03 1.22127e+00
3.51317e+02 1.72789e+03 1.87333e+04 1.06528e+03 1.21141e+00
3.52106e+02 1.72300e+03 1.84013e+04 1.05628e+03 1.20515e+00
3.52895e+02 1.72389e+03 1.80164e+04 1.05306e+03 1.19607e+00
3.53684e+02 1.72633e+03 1.76248e+04 1.05483e+03 1.18440e+00
3.54473e+02 1.72600e+03 1.73256e+04 1.04683e+03 1.18175e+00
3.55262e+02 1.72311e+03 1.71782e+04 1.05672e+03 1.17120e+00
3.56051e+02 1.72333e+03 1.72236e+04 1.06672e+03 1.17115e+00
3.56839e+02 1.72678e+03 1.75107e+04 1.11139e+03 1.16106e+00
3.57628e+02 1.72389e+03 1.77949e+04 1.14250e+03 1.15745e+00
3.58416e+02 1.72378e+03 1.80167e+04 1.17817e+03 1.14733e+00
3.59205e+02 1.72667e+03 1.80041e+04 1.18361e+03 1.14495e+00
3.59993e+02 1.72489e+03 1.78603e+04 1.19961e+03 1.13654e+00
3.60781e+02 1.72411e+03 1.74948e+04 1.18539e+03 1.13075e+00
3.61569e+02 1.72556e+03 1.71069e+04 1.18094e+03 1.12283e+00
3.62357e+02 1.72411e+03 1.69709e+04 1.19728e+03 1.11177e+00
3.63145e+02 1.72233e+03 1.70966e+04 1.22550e+03 1.10571e+00
3.63933e+02 1.72356e+03 1.74903e+04 1.28472e+03 1.09517e+00
3.64721e+02 1.72389e+03 1.79698e+04 1.35206e+03 1.08345e+00
3.65509e+02 1.72422e+03 1.83831e+04 1.41494e+03 1.07672e+00
3.66297e+02 1.72600e+03 1.86216e+04 1.47017e+03 1.06524e+00
3.67085e+02 1.72311e+03 1.87540e+04 1.50439e+03 1.06011e+00
3.67872e+02 1.72300e+03 1.86233e+04 1.55072e+03 1.04149e+00
3.68660e+02 1.72411e+03 1.81222e+04 1.55728e+03 1.02440e+00
3.69447e+02 1.72311e+03 1.77048e+04 1.56172e+03 1.01626e+00
3.70235e+02 1.72422e+03 1.72519e+04 1.55850e+03 1.00249e+00
3.71022e+02 1.72667e+03 1.69784e+04 1.57528e+03 9.92467e-01
3.71809e+02 1.72356e+03 1.70568e+04 1.60739e+03 9.83508e-01
3.72596e+02 1.72433e+03 1.72346e+04 1.67117e+03 9.72794e-01
3.73383e+02 1.72367e+03 1.76261e+04 1.73839e+03 9.64669e-01
3.74170e+02 1.72656e+03 1.79642e+04 1.80539e+03 9.59146e-01
3.74957e+02 1.72233e+03 1.81504e+04 1.86783e+03 9.45904e-01
3.75744e+02 1.72056e+03 1.81271e+04 1.88306e+03 9.45027e-01
