Wavelength Dark Reference Sample Absorbance
1.97742e+02 1.36389e+01 1.26111e+01 1.03611e+01 
1.98544e+02 1.41667e+00 -2.50000e+00 -2.75000e+00 -2.59637e-01
1.99347e+02 -2.58333e+00 -4.27778e+00 -5.63889e+00 -1.78355e-03
2.00149e+02 -4.13889e+00 -6.72222e+00 -7.86111e+00 -5.97888e-02
2.00951e+02 6.97222e+00 4.91722e+02 2.45917e+02 3.05808e-01
2.01753e+02 8.30556e+00 5.23611e+02 2.47361e+02 3.28156e-01
2.02554e+02 1.21944e+01 5.42056e+02 2.61361e+02 3.19405e-01
2.03356e+02 1.35278e+01 5.60278e+02 2.63806e+02 3.34860e-01
2.04158e+02 1.27500e+01 5.78833e+02 2.72028e+02 3.51042e-01
2.04960e+02 1.30833e+01 6.00722e+02 2.74139e+02 3.57483e-01
2.05761e+02 1.29722e+01 6.23833e+02 2.75806e+02 3.72382e-01
2.06563e+02 1.61944e+01 6.49056e+02 2.86583e+02 3.85466e-01
2.07364e+02 1.58611e+01 6.75944e+02 2.89806e+02 3.74996e-01
2.08166e+02 1.40833e+01 7.10833e+02 2.99917e+02 3.77020e-01
2.08967e+02 1.57500e+01 7.23167e+02 2.97917e+02 4.02611e-01
2.09768e+02 1.73056e+01 7.66722e+02 3.03361e+02 4.25966e-01
2.10569e+02 1.31944e+01 8.09389e+02 2.99917e+02 4.42574e-01
2.11370e+02 1.63056e+01 8.41722e+02 3.06917e+02 4.52026e-01
2.12172e+02 1.87500e+01 9.05944e+02 3.17583e+02 4.84535e-01
2.12973e+02 1.56389e+01 9.79833e+02 3.18139e+02 5.07672e-01
2.13773e+02 1.67500e+01 1.11250e+03 3.24250e+02 5.44218e-01
2.14574e+02 2.09722e+01 1.35917e+03 3.34694e+02 6.30130e-01
2.15375e+02 1.86389e+01 1.73094e+03 3.36806e+02 7.26058e-01
2.16176e+02 1.66389e+01 2.17094e+03 3.42472e+02 8.18099e-01
2.16977e+02 1.69722e+01 2.66461e+03 3.56028e+02 8.96707e-01
