Wavelength Dark Reference Sample Absorbance
1.97742e+02 1.72044e+03 1.71922e+03 9.30556e+00 1.60716e-01
1.98544e+02 1.70578e+03 1.70511e+03 -3.47222e+00 -4.85697e-01
1.99347e+02 1.70200e+03 1.70300e+03 -6.36111e+00 -4.82450e-01
2.00149e+02 1.70111e+03 1.70156e+03 -7.25000e+00 1.06455e-01
2.00951e+02 1.71156e+03 1.92389e+03 2.45417e+02 -5.73216e-02
2.01753e+02 1.71189e+03 1.92933e+03 2.51194e+02 -7.04027e-02
2.02554e+02 1.71733e+03 1.93922e+03 2.65306e+02 -5.30815e-02
2.03356e+02 1.71678e+03 1.94433e+03 2.67417e+02 -5.26139e-02
2.04158e+02 1.71856e+03 1.94678e+03 2.71528e+02 -5.49238e-02
2.04960e+02 1.71700e+03 1.94811e+03 2.70861e+02 -6.95772e-02
2.05761e+02 1.71833e+03 1.95522e+03 2.77750e+02 -4.31077e-02
2.06563e+02 1.72200e+03 1.96156e+03 2.85306e+02 -4.44280e-02
2.07364e+02 1.71722e+03 1.95844e+03 2.82639e+02 -4.37005e-02
2.08166e+02 1.71933e+03 1.96311e+03 2.88417e+02 -6.77072e-02
2.08967e+02 1.72056e+03 1.96189e+03 2.92972e+02 -5.43277e-02
2.09768e+02 1.72056e+03 1.96889e+03 2.99639e+02 -4.82358e-02
2.10569e+02 1.71878e+03 1.97033e+03 2.95972e+02 -5.78431e-02
2.11370e+02 1.72200e+03 1.97067e+03 2.95750e+02 -5.24377e-02
2.12172e+02 1.72333e+03 1.97622e+03 3.01750e+02 -6.01178e-02
2.12973e+02 1.72022e+03 1.97367e+03 2.97861e+02 -6.27481e-02
2.13773e+02 1.72167e+03 1.97456e+03 3.04083e+02 -4.46720e-02
2.14574e+02 1.72433e+03 1.97867e+03 3.09417e+02 -7.16362e-02
2.15375e+02 1.72200e+03 1.97878e+03 3.11528e+02 -6.09872e-02
2.16176e+02 1.72244e+03 1.97856e+03 3.06750e+02 -6.96120e-02
2.16977e+02 1.72200e+03 1.97944e+03 3.06861e+02 -5.83141e-02
2.17777e+02 1.72200e+03 1.98111e+03 3.09972e+02 -3.89638e-02
2.18578e+02 1.72322e+03 1.98056e+03 3.15639e+02 -6.48387e-02
2.19378e+02 1.72289e+03 1.98178e+03 3.11972e+02 -3.38771e-02
2.20179e+02 1.72533e+03 1.98933e+03 3.18972e+02 -6.31965e-02
2.20979e+02 1.72267e+03 1.97978e+03 3.12639e+02 -6.67514e-02
2.21779e+02 1.72456e+03 1.98022e+03 3.12194e+02 -6.19675e-02
2.22579e+02 1.72300e+03 1.97856e+03 3.09083e+02 -6.99149e-02
2.23380e+02 1.72067e+03 1.98022e+03 3.13750e+02 -5.75226e-02
2.24180e+02 1.72511e+03 1.98878e+03 3.14639e+02 -4.05635e-02
2.24980e+02 1.72356e+03 1.98844e+03 3.15861e+02 -4.94242e-02
2.25780e+02 1.72444e+03 1.98722e+03 3.11417e+02 -7.81027e-02
2.26579e+02 1.72556e+03 1.97722e+03 3.02306e+02 -7.57602e-02
2.27379e+02 1.72422e+03 1.97511e+03 2.91861e+02 -5.36266e-02
2.28179e+02 1.73422e+03 1.97944e+03 2.97083e+02 -3.62865e-02
2.28979e+02 1.72589e+03 1.96389e+03 2.79639e+02 -5.98829e-02
2.29778e+02 1.72244e+03 1.95856e+03 2.72861e+02 -3.53944e-02
2.30578e+02 1.72500e+03 1.94978e+03 2.64639e+02 -2.32228e-02
2.31377e+02 1.72533e+03 1.94911e+03 2.60750e+02 -3.96490e-02
2.32177e+02 1.72233e+03 1.93956e+03 2.51306e+02 -2.75460e-02
2.32976e+02 1.72289e+03 1.94344e+03 2.51972e+02 -1.91169e-02
2.33775e+02 1.72511e+03 1.94822e+03 2.54306e+02 -3.78498e-02
2.34575e+02 1.72222e+03 1.94756e+03 2.59194e+02 -4.86988e-02
2.35374e+02 1.72244e+03 1.95056e+03 2.62528e+02 -3.23356e-02
2.36173e+02 1.72667e+03 1.95800e+03 2.68639e+02 -1.93395e-02
2.36972e+02 1.72367e+03 1.96478e+03 2.75972e+02 -3.51532e-02
