 time uid infusing_rate
0 20240222_183213 2313af94-3499-4b56-8eb5-84480f5eff78 CsPb_011_TOABr_121_ZnCl_000_ZnI_000
1 20240222_184143 be22b92c-cf3e-4064-aae9-a4a990256331 CsPb_037_TOABr_185_ZnCl_000_ZnI_000
2 20240222_190150 71622acc-87a7-47b9-ae16-91c04b6b08e8 CsPb_012_TOABr_118_ZnCl_014_ZnI_000
3 20240222_191938 d2a38ed0-8165-4893-b416-a3ce1773c4a9 CsPb_016_TOABr_119_ZnCl_031_ZnI_000
4 20240222_193522 01b3fde0-fdc1-467d-897b-e44192bd016b CsPb_026_TOABr_164_ZnCl_071_ZnI_000
5 20240222_195208 8546f06d-065b-4c98-9fbb-12c3d7cd6783 CsPb_020_TOABr_117_ZnCl_101_ZnI_000
6 20240222_201109 5239acc7-a2a9-498c-a3f9-fb6ecfdd020f CsPb_035_TOABr_087_ZnCl_130_ZnI_000
7 20240222_214558 ede49621-5c34-4c52-aa91-dd968b864d79 CsPb_012_TOABr_093_ZnCl_191_ZnI_000
8 20240222_215543 66855182-875c-435e-b63d-c042c079650b CsPb_024_TOABr_088_ZnCl_138_ZnI_000
9 20240222_221359 10f93045-6db7-4db0-a805-4717b9bb7750 CsPb_020_TOABr_117_ZnCl_101_ZnI_000
10 20240222_223033 5b947ad4-dffc-448e-9afd-3d7c615bd395 CsPb_026_TOABr_164_ZnCl_071_ZnI_000
11 20240222_224850 5906a5a2-3e9c-44c5-ad65-7f1ece3dff6f CsPb_016_TOABr_119_ZnCl_031_ZnI_000
12 20240222_230631 93bf8475-f037-46bd-8b2f-68882f78c0a6 CsPb_012_TOABr_118_ZnCl_014_ZnI_000
13 20240223_005736 8d7a9c75-26c9-4da3-bfc8-43fd7e68d0ee CsPb_010_TOABr_121_ZnCl_000_ZnI_000
14 20240223_010657 00a29c6b-7a8f-41e1-b186-e736dd936e6e CsPb_010_TOABr_121_ZnCl_000_ZnI_000
15 20240223_012457 67bdfcab-7baa-45c4-a483-13a4ff482c41 CsPb_014_TOABr_139_ZnCl_000_ZnI_048
16 20240223_012836 7a625c4f-585c-4bf9-89f1-8b3d82673e92 CsPb_014_TOABr_139_ZnCl_000_ZnI_048
17 20240223_014456 a6f5b0aa-e91f-442b-a41d-f88b168e7edd CsPb_015_TOABr_111_ZnCl_000_ZnI_044
18 20240223_020934 6e2bca27-0757-42da-93d6-008f42812cbb CsPb_014_TOABr_139_ZnCl_000_ZnI_055
19 20240223_022641 5db78c4d-9484-4d8b-a928-e18e226d22f8 CsPb_026_TOABr_120_ZnCl_000_ZnI_051
20 20240223_025426 c72f3d2a-5ae2-446e-b9cb-c502a843a7bb CsPb_002_TOABr_057_ZnCl_000_ZnI_033
21 20240223_031537 5ee9327c-99f2-4aed-9b03-c8cbf4b88e62 CsPb_002_TOABr_057_ZnCl_000_ZnI_033
22 20240223_033806 99bfd4a1-d719-40a4-b174-c714f496cc11 CsPb_013_TOABr_073_ZnCl_000_ZnI_034
23 20240223_035727 0c84e4b6-003d-4d26-84a1-0f4de51886f9 CsPb_036_TOABr_108_ZnCl_000_ZnI_053
24 20240223_041145 8cf6e711-a116-4d3c-8961-4c2a8682109c CsPb_068_TOABr_199_ZnCl_000_ZnI_134
25 20240223_041227 b8d179c4-c1ad-41eb-8120-9368fabd71a2 CsPb_068_TOABr_199_ZnCl_000_ZnI_134
26 20240223_043101 8de08bdd-441a-4cd1-9986-f2b3b2024cbe CsPb_030_TOABr_132_ZnCl_000_ZnI_099
27 20240223_045452 ef22792d-6abd-44f2-8a00-01a019cd07fd CsPb_011_TOABr_069_ZnCl_000_ZnI_072
28 20240223_051801 097b8ebd-920e-4f1f-93b7-3461c493b666 CsPb_028_TOABr_059_ZnCl_000_ZnI_117
