x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
1.97742294e+02 1.69739705e-01 1.97742294e+02 1.77917461e-01 1.97742294e+02 9.76277683e-02 1.97742294e+02 4.60036077e-02 1.97742294e+02 4.69628707e-01 1.97742294e+02 4.09086226e-02
1.98544478e+02 2.14126741e-01 1.98544478e+02 6.41616175e-01 1.98544478e+02 1.79335947e-01 1.98544478e+02 1.68237747e-01 1.98544478e+02 7.60331766e-01 1.98544478e+02 -2.31810208e-02
1.99346597e+02 2.04381258e-01 1.99346597e+02 2.92838291e-01 1.99346597e+02 1.00284410e-01 1.99346597e+02 8.28114627e-02 1.99346597e+02 3.89832884e-01 1.99346597e+02 2.58714913e-02
2.00148650e+02 2.24184147e-01 2.00148650e+02 4.33574764e-01 2.00148650e+02 1.48549553e-01 2.00148650e+02 1.00377805e-01 2.00148650e+02 6.64748485e-01 2.00148650e+02 4.19364511e-02
2.00950637e+02 3.93734611e-01 2.00950637e+02 5.87478915e-01 2.00950637e+02 4.41749342e-01 2.00950637e+02 4.50960941e-01 2.00950637e+02 8.97191290e-01 2.00950637e+02 4.50526312e-01
2.01752559e+02 4.04885042e-01 2.01752559e+02 5.98539566e-01 2.01752559e+02 4.54635177e-01 2.01752559e+02 4.62335723e-01 2.01752559e+02 9.08983769e-01 2.01752559e+02 4.65176188e-01
2.02554415e+02 4.05164390e-01 2.02554415e+02 6.00906386e-01 2.02554415e+02 4.58869720e-01 2.02554415e+02 4.68540915e-01 2.02554415e+02 9.09352537e-01 2.02554415e+02 4.70791268e-01
2.03356205e+02 4.12123319e-01 2.03356205e+02 6.09992854e-01 2.03356205e+02 4.70030544e-01 2.03356205e+02 4.84351269e-01 2.03356205e+02 9.19904005e-01 2.03356205e+02 4.86673015e-01
2.04157930e+02 4.18401468e-01 2.04157930e+02 6.18543576e-01 2.04157930e+02 4.80632643e-01 2.04157930e+02 4.93153202e-01 2.04157930e+02 9.41728460e-01 2.04157930e+02 4.97706986e-01
2.04959589e+02 4.19241276e-01 2.04959589e+02 6.15782616e-01 2.04959589e+02 4.82271885e-01 2.04959589e+02 4.98799407e-01 2.04959589e+02 9.40142228e-01 2.04959589e+02 5.02938084e-01
2.05761182e+02 4.21188335e-01 2.05761182e+02 6.21172740e-01 2.05761182e+02 4.89308262e-01 2.05761182e+02 5.06002141e-01 2.05761182e+02 9.49464496e-01 2.05761182e+02 5.10280562e-01
2.06562709e+02 4.23832686e-01 2.06562709e+02 6.28763332e-01 2.06562709e+02 4.99140578e-01 2.06562709e+02 5.16451267e-01 2.06562709e+02 9.63436545e-01 2.06562709e+02 5.20282684e-01
2.07364171e+02 4.25652172e-01 2.07364171e+02 6.30516450e-01 2.07364171e+02 5.03336808e-01 2.07364171e+02 5.22423197e-01 2.07364171e+02 9.64689406e-01 2.07364171e+02 5.30721732e-01
2.08165567e+02 4.33345383e-01 2.08165567e+02 6.46013182e-01 2.08165567e+02 5.19899116e-01 2.08165567e+02 5.41784186e-01 2.08165567e+02 9.89323767e-01 2.08165567e+02 5.50917745e-01
2.08966897e+02 4.47862387e-01 2.08966897e+02 6.66668808e-01 2.08966897e+02 5.46311483e-01 2.08966897e+02 5.66307366e-01 2.08966897e+02 1.01644948e+00 2.08966897e+02 5.81754658e-01
2.09768161e+02 4.68707995e-01 2.09768161e+02 6.94645630e-01 2.09768161e+02 5.82723895e-01 2.09768161e+02 6.07683032e-01 2.09768161e+02 1.05575612e+00 2.09768161e+02 6.25419265e-01
2.10569359e+02 4.94171551e-01 2.10569359e+02 7.30500220e-01 2.10569359e+02 6.21532180e-01 2.10569359e+02 6.54615936e-01 2.10569359e+02 1.10023423e+00 2.10569359e+02 6.73583866e-01
2.11370491e+02 5.08634225e-01 2.11370491e+02 7.51513072e-01 2.11370491e+02 6.50117822e-01 2.11370491e+02 6.81056382e-01 2.11370491e+02 1.12987494e+00 2.11370491e+02 7.03742064e-01
2.12171558e+02 5.13531143e-01 2.12171558e+02 7.61298142e-01 2.12171558e+02 6.65450457e-01 2.12171558e+02 7.03892837e-01 2.12171558e+02 1.14828944e+00 2.12171558e+02 7.31372644e-01
2.12972558e+02 5.11073204e-01 2.12972558e+02 7.68454409e-01 2.12972558e+02 6.76729211e-01 2.12972558e+02 7.18619983e-01 2.12972558e+02 1.16546116e+00 2.12972558e+02 7.49019782e-01
2.13773492e+02 5.22563705e-01 2.13773492e+02 7.94024654e-01 2.13773492e+02 7.10917590e-01 2.13773492e+02 7.54018721e-01 2.13773492e+02 1.21001119e+00 2.13773492e+02 7.95709895e-01
2.14574360e+02 5.47469670e-01 2.14574360e+02 8.38561980e-01 2.14574360e+02 7.77175865e-01 2.14574360e+02 8.35289784e-01 2.14574360e+02 1.29370400e+00 2.14574360e+02 8.83041970e-01
2.15375163e+02 5.64704287e-01 2.15375163e+02 8.73845728e-01 2.15375163e+02 8.39370233e-01 2.15375163e+02 9.16297325e-01 2.15375163e+02 1.38229895e+00 2.15375163e+02 9.79709193e-01
2.16175899e+02 5.72310209e-01 2.16175899e+02 8.96060198e-01 2.16175899e+02 8.81927941e-01 2.16175899e+02 9.76260585e-01 2.16175899e+02 1.44651397e+00 2.16175899e+02 1.05931488e+00
2.16976569e+02 5.69168069e-01 2.16976569e+02 9.04525741e-01 2.16976569e+02 9.07003299e-01 2.16976569e+02 1.01845821e+00 2.16976569e+02 1.50667615e+00 2.16976569e+02 1.12249958e+00
2.17777172e+02 5.68805986e-01 2.17777172e+02 9.08600236e-01 2.17777172e+02 9.30229282e-01 2.17777172e+02 1.06119663e+00 2.17777172e+02 1.55596849e+00 2.17777172e+02 1.19389482e+00
2.18577710e+02 5.65866608e-01 2.18577710e+02 9.08509584e-01 2.18577710e+02 9.47676464e-01 2.18577710e+02 1.09407439e+00 2.18577710e+02 1.60673689e+00 2.18577710e+02 1.26388005e+00
2.19378181e+02 5.63884625e-01 2.19378181e+02 9.07379364e-01 2.19378181e+02 9.56071652e-01 2.19378181e+02 1.11703195e+00 2.19378181e+02 1.63825260e+00 2.19378181e+02 1.31911101e+00
2.20178586e+02 5.59338172e-01 2.20178586e+02 8.99882867e-01 2.20178586e+02 9.54213877e-01 2.20178586e+02 1.12416715e+00 2.20178586e+02 1.65984335e+00 2.20178586e+02 1.35731157e+00
