x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
1.97742e+02 1.69740e-01 1.97742e+02 1.77917e-01 1.97742e+02 9.76278e-02 1.97742e+02 4.60036e-02 1.97742e+02 4.69629e-01 1.97742e+02 4.09086e-02
1.98544e+02 2.14127e-01 1.98544e+02 6.41616e-01 1.98544e+02 1.79336e-01 1.98544e+02 1.68238e-01 1.98544e+02 7.60332e-01 1.98544e+02 -2.31810e-02
1.99347e+02 2.04381e-01 1.99347e+02 2.92838e-01 1.99347e+02 1.00284e-01 1.99347e+02 8.28115e-02 1.99347e+02 3.89833e-01 1.99347e+02 2.58715e-02
2.00149e+02 2.24184e-01 2.00149e+02 4.33575e-01 2.00149e+02 1.48550e-01 2.00149e+02 1.00378e-01 2.00149e+02 6.64748e-01 2.00149e+02 4.19365e-02
2.00951e+02 3.93735e-01 2.00951e+02 5.87479e-01 2.00951e+02 4.41749e-01 2.00951e+02 4.50961e-01 2.00951e+02 8.97191e-01 2.00951e+02 4.50526e-01
2.01753e+02 4.04885e-01 2.01753e+02 5.98540e-01 2.01753e+02 4.54635e-01 2.01753e+02 4.62336e-01 2.01753e+02 9.08984e-01 2.01753e+02 4.65176e-01
2.02554e+02 4.05164e-01 2.02554e+02 6.00906e-01 2.02554e+02 4.58870e-01 2.02554e+02 4.68541e-01 2.02554e+02 9.09353e-01 2.02554e+02 4.70791e-01
2.03356e+02 4.12123e-01 2.03356e+02 6.09993e-01 2.03356e+02 4.70031e-01 2.03356e+02 4.84351e-01 2.03356e+02 9.19904e-01 2.03356e+02 4.86673e-01
2.04158e+02 4.18401e-01 2.04158e+02 6.18544e-01 2.04158e+02 4.80633e-01 2.04158e+02 4.93153e-01 2.04158e+02 9.41728e-01 2.04158e+02 4.97707e-01
2.04960e+02 4.19241e-01 2.04960e+02 6.15783e-01 2.04960e+02 4.82272e-01 2.04960e+02 4.98799e-01 2.04960e+02 9.40142e-01 2.04960e+02 5.02938e-01
2.05761e+02 4.21188e-01 2.05761e+02 6.21173e-01 2.05761e+02 4.89308e-01 2.05761e+02 5.06002e-01 2.05761e+02 9.49464e-01 2.05761e+02 5.10281e-01
2.06563e+02 4.23833e-01 2.06563e+02 6.28763e-01 2.06563e+02 4.99141e-01 2.06563e+02 5.16451e-01 2.06563e+02 9.63437e-01 2.06563e+02 5.20283e-01
2.07364e+02 4.25652e-01 2.07364e+02 6.30516e-01 2.07364e+02 5.03337e-01 2.07364e+02 5.22423e-01 2.07364e+02 9.64689e-01 2.07364e+02 5.30722e-01
2.08166e+02 4.33345e-01 2.08166e+02 6.46013e-01 2.08166e+02 5.19899e-01 2.08166e+02 5.41784e-01 2.08166e+02 9.89324e-01 2.08166e+02 5.50918e-01
2.08967e+02 4.47862e-01 2.08967e+02 6.66669e-01 2.08967e+02 5.46311e-01 2.08967e+02 5.66307e-01 2.08967e+02 1.01645e+00 2.08967e+02 5.81755e-01
2.09768e+02 4.68708e-01 2.09768e+02 6.94646e-01 2.09768e+02 5.82724e-01 2.09768e+02 6.07683e-01 2.09768e+02 1.05576e+00 2.09768e+02 6.25419e-01
2.10569e+02 4.94172e-01 2.10569e+02 7.30500e-01 2.10569e+02 6.21532e-01 2.10569e+02 6.54616e-01 2.10569e+02 1.10023e+00 2.10569e+02 6.73584e-01
2.11370e+02 5.08634e-01 2.11370e+02 7.51513e-01 2.11370e+02 6.50118e-01 2.11370e+02 6.81056e-01 2.11370e+02 1.12987e+00 2.11370e+02 7.03742e-01
2.12172e+02 5.13531e-01 2.12172e+02 7.61298e-01 2.12172e+02 6.65450e-01 2.12172e+02 7.03893e-01 2.12172e+02 1.14829e+00 2.12172e+02 7.31373e-01
2.12973e+02 5.11073e-01 2.12973e+02 7.68454e-01 2.12973e+02 6.76729e-01 2.12973e+02 7.18620e-01 2.12973e+02 1.16546e+00 2.12973e+02 7.49020e-01
2.13773e+02 5.22564e-01 2.13773e+02 7.94025e-01 2.13773e+02 7.10918e-01 2.13773e+02 7.54019e-01 2.13773e+02 1.21001e+00 2.13773e+02 7.95710e-01
2.14574e+02 5.47470e-01 2.14574e+02 8.38562e-01 2.14574e+02 7.77176e-01 2.14574e+02 8.35290e-01 2.14574e+02 1.29370e+00 2.14574e+02 8.83042e-01
2.15375e+02 5.64704e-01 2.15375e+02 8.73846e-01 2.15375e+02 8.39370e-01 2.15375e+02 9.16297e-01 2.15375e+02 1.38230e+00 2.15375e+02 9.79709e-01
2.16176e+02 5.72310e-01 2.16176e+02 8.96060e-01 2.16176e+02 8.81928e-01 2.16176e+02 9.76261e-01 2.16176e+02 1.44651e+00 2.16176e+02 1.05931e+00
2.16977e+02 5.69168e-01 2.16977e+02 9.04526e-01 2.16977e+02 9.07003e-01 2.16977e+02 1.01846e+00 2.16977e+02 1.50668e+00 2.16977e+02 1.12250e+00
2.17777e+02 5.68806e-01 2.17777e+02 9.08600e-01 2.17777e+02 9.30229e-01 2.17777e+02 1.06120e+00 2.17777e+02 1.55597e+00 2.17777e+02 1.19389e+00
2.18578e+02 5.65867e-01 2.18578e+02 9.08510e-01 2.18578e+02 9.47676e-01 2.18578e+02 1.09407e+00 2.18578e+02 1.60674e+00 2.18578e+02 1.26388e+00
2.19378e+02 5.63885e-01 2.19378e+02 9.07379e-01 2.19378e+02 9.56072e-01 2.19378e+02 1.11703e+00 2.19378e+02 1.63825e+00 2.19378e+02 1.31911e+00
2.20179e+02 5.59338e-01 2.20179e+02 8.99883e-01 2.20179e+02 9.54214e-01 2.20179e+02 1.12417e+00 2.20179e+02 1.65984e+00 2.20179e+02 1.35731e+00
2.20979e+02 5.54499e-01 2.20979e+02 8.91360e-01 2.20979e+02 9.49850e-01 2.20979e+02 1.12867e+00 2.20979e+02 1.67436e+00 2.20979e+02 1.39297e+00
2.21779e+02 5.48242e-01 2.21779e+02 8.80052e-01 2.21779e+02 9.43051e-01 2.21779e+02 1.12877e+00 2.21779e+02 1.68481e+00 2.21779e+02 1.43447e+00
2.22579e+02 5.40880e-01 2.22579e+02 8.68149e-01 2.22579e+02 9.31533e-01 2.22579e+02 1.12525e+00 2.22579e+02 1.69333e+00 2.22579e+02 1.47259e+00
2.23380e+02 5.32159e-01 2.23380e+02 8.55010e-01 2.23380e+02 9.15444e-01 2.23380e+02 1.11368e+00 2.23380e+02 1.69019e+00 2.23380e+02 1.50445e+00
2.24180e+02 5.22787e-01 2.24180e+02 8.37795e-01 2.24180e+02 8.93165e-01 2.24180e+02 1.09407e+00 2.24180e+02 1.67165e+00 2.24180e+02 1.52698e+00
2.24980e+02 5.12987e-01 2.24980e+02 8.20981e-01 2.24980e+02 8.74240e-01 2.24980e+02 1.07405e+00 2.24980e+02 1.66147e+00 2.24980e+02 1.56322e+00
2.25780e+02 5.04430e-01 2.25780e+02 8.05738e-01 2.25780e+02 8.54265e-01 2.25780e+02 1.05834e+00 2.25780e+02 1.65630e+00 2.25780e+02 1.61298e+00
2.26579e+02 4.96595e-01 2.26579e+02 7.91738e-01 2.26579e+02 8.35318e-01 2.26579e+02 1.03965e+00 2.26579e+02 1.64282e+00 2.26579e+02 1.66393e+00
2.27379e+02 4.88551e-01 2.27379e+02 7.77840e-01 2.27379e+02 8.14768e-01 2.27379e+02 1.01728e+00 2.27379e+02 1.62649e+00 2.27379e+02 1.70666e+00
2.28179e+02 4.82339e-01 2.28179e+02 7.66310e-01 2.28179e+02 7.98320e-01 2.28179e+02 1.00005e+00 2.28179e+02 1.60788e+00 2.28179e+02 1.74084e+00
2.28979e+02 4.77695e-01 2.28979e+02 7.56646e-01 2.28979e+02 7.86336e-01 2.28979e+02 9.85099e-01 2.28979e+02 1.59532e+00 2.28979e+02 1.77722e+00
2.29778e+02 4.75042e-01 2.29778e+02 7.52370e-01 2.29778e+02 7.80271e-01 2.29778e+02 9.77881e-01 2.29778e+02 1.58800e+00 2.29778e+02 1.80933e+00
2.30578e+02 4.74691e-01 2.30578e+02 7.50439e-01 2.30578e+02 7.78881e-01 2.30578e+02 9.77380e-01 2.30578e+02 1.58977e+00 2.30578e+02 1.85051e+00
2.31377e+02 4.75672e-01 2.31377e+02 7.54378e-01 2.31377e+02 7.84434e-01 2.31377e+02 9.84838e-01 2.31377e+02 1.59800e+00 2.31377e+02 1.88569e+00
2.32177e+02 4.80994e-01 2.32177e+02 7.63573e-01 2.32177e+02 7.97398e-01 2.32177e+02 1.00012e+00 2.32177e+02 1.61582e+00 2.32177e+02 1.92080e+00
2.32976e+02 4.86762e-01 2.32976e+02 7.73870e-01 2.32976e+02 8.14866e-01 2.32976e+02 1.02196e+00 2.32976e+02 1.64261e+00 2.32976e+02 1.94455e+00
2.33775e+02 4.95496e-01 2.33775e+02 7.90672e-01 2.33775e+02 8.39437e-01 2.33775e+02 1.05211e+00 2.33775e+02 1.67537e+00 2.33775e+02 1.96500e+00
2.34575e+02 5.06445e-01 2.34575e+02 8.11006e-01 2.34575e+02 8.70023e-01 2.34575e+02 1.08868e+00 2.34575e+02 1.71269e+00 2.34575e+02 1.97514e+00
2.35374e+02 5.17654e-01 2.35374e+02 8.32916e-01 2.35374e+02 9.03344e-01 2.35374e+02 1.12743e+00 2.35374e+02 1.75571e+00 2.35374e+02 1.98198e+00
2.36173e+02 5.32798e-01 2.36173e+02 8.59174e-01 2.36173e+02 9.42247e-01 2.36173e+02 1.17410e+00 2.36173e+02 1.79846e+00 2.36173e+02 1.98245e+00
2.36972e+02 5.48773e-01 2.36972e+02 8.89590e-01 2.36972e+02 9.84513e-01 2.36972e+02 1.22276e+00 2.36972e+02 1.84269e+00 2.36972e+02 1.97452e+00
2.37771e+02 5.65817e-01 2.37771e+02 9.21593e-01 2.37771e+02 1.03095e+00 2.37771e+02 1.27019e+00 2.37771e+02 1.88666e+00 2.37771e+02 1.96361e+00
2.38570e+02 5.82987e-01 2.38570e+02 9.53142e-01 2.38570e+02 1.07446e+00 2.38570e+02 1.31652e+00 2.38570e+02 1.92200e+00 2.38570e+02 1.94169e+00
2.39368e+02 6.02042e-01 2.39368e+02 9.88820e-01 2.39368e+02 1.12112e+00 2.39368e+02 1.36304e+00 2.39368e+02 1.95629e+00 2.39368e+02 1.92564e+00
2.40167e+02 6.24158e-01 2.40167e+02 1.02585e+00 2.40167e+02 1.16753e+00 2.40167e+02 1.40307e+00 2.40167e+02 1.97862e+00 2.40167e+02 1.90901e+00
2.40966e+02 6.45875e-01 2.40966e+02 1.06238e+00 2.40966e+02 1.21285e+00 2.40966e+02 1.44291e+00 2.40966e+02 1.99728e+00 2.40966e+02 1.89554e+00
2.41764e+02 6.68029e-01 2.41764e+02 1.10028e+00 2.41764e+02 1.25872e+00 2.41764e+02 1.47730e+00 2.41764e+02 2.02020e+00 2.41764e+02 1.89171e+00
2.42563e+02 6.90707e-01 2.42563e+02 1.13938e+00 2.42563e+02 1.30289e+00 2.42563e+02 1.51072e+00 2.42563e+02 2.03656e+00 2.42563e+02 1.89409e+00
2.43361e+02 7.14136e-01 2.43361e+02 1.17706e+00 2.43361e+02 1.34254e+00 2.43361e+02 1.53807e+00 2.43361e+02 2.04903e+00 2.43361e+02 1.89337e+00
2.44160e+02 7.35748e-01 2.44160e+02 1.21132e+00 2.44160e+02 1.37658e+00 2.44160e+02 1.55678e+00 2.44160e+02 2.05526e+00 2.44160e+02 1.89827e+00
2.44958e+02 7.54585e-01 2.44958e+02 1.24011e+00 2.44958e+02 1.39850e+00 2.44958e+02 1.56227e+00 2.44958e+02 2.04484e+00 2.44958e+02 1.88778e+00
2.45756e+02 7.71556e-01 2.45756e+02 1.26109e+00 2.45756e+02 1.40649e+00 2.45756e+02 1.55405e+00 2.45756e+02 2.02755e+00 2.45756e+02 1.87576e+00
2.46555e+02 7.83282e-01 2.46555e+02 1.27214e+00 2.46555e+02 1.40029e+00 2.46555e+02 1.53016e+00 2.46555e+02 1.99382e+00 2.46555e+02 1.85088e+00
2.47353e+02 7.89993e-01 2.47353e+02 1.27287e+00 2.47353e+02 1.37805e+00 2.47353e+02 1.49203e+00 2.47353e+02 1.94848e+00 2.47353e+02 1.81838e+00
2.48151e+02 7.92147e-01 2.48151e+02 1.26325e+00 2.48151e+02 1.34472e+00 2.48151e+02 1.44486e+00 2.48151e+02 1.89491e+00 2.48151e+02 1.77731e+00
2.48949e+02 7.87881e-01 2.48949e+02 1.24393e+00 2.48949e+02 1.30126e+00 2.48949e+02 1.39251e+00 2.48949e+02 1.84012e+00 2.48949e+02 1.73518e+00
2.49747e+02 7.79703e-01 2.49747e+02 1.21936e+00 2.49747e+02 1.25492e+00 2.49747e+02 1.33962e+00 2.49747e+02 1.78382e+00 2.49747e+02 1.69452e+00
2.50545e+02 7.65703e-01 2.50545e+02 1.18850e+00 2.50545e+02 1.20914e+00 2.50545e+02 1.28599e+00 2.50545e+02 1.72986e+00 2.50545e+02 1.65803e+00
