x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
1.97742294e+02 -6.48603469e-02 1.97742294e+02 -1.49069266e-01 1.97742294e+02 -3.13190123e-02 1.97742294e+02 -9.59939058e-02 1.97742294e+02 -5.72698903e-02 1.97742294e+02 3.80805991e-02
1.98544478e+02 -2.04566856e-02 1.98544478e+02 3.14641645e-01 1.98544478e+02 5.04041253e-02 1.98544478e+02 2.62986895e-02 1.98544478e+02 2.33496928e-01 1.98544478e+02 -2.60158790e-02
1.99346597e+02 -3.01855460e-02 1.99346597e+02 -3.41240423e-02 1.99346597e+02 -2.86324533e-02 1.99346597e+02 -5.90691446e-02 1.99346597e+02 -1.36938200e-01 1.99346597e+02 2.30297990e-02
2.00148650e+02 -1.03660344e-02 2.00148650e+02 1.06624626e-01 2.00148650e+02 1.96476464e-02 2.00148650e+02 -4.14443562e-02 2.00148650e+02 1.38041150e-01 2.00148650e+02 3.90879253e-02
2.00950637e+02 1.59201050e-01 2.00950637e+02 2.60540971e-01 2.00950637e+02 3.12862391e-01 2.00950637e+02 3.09197221e-01 2.00950637e+02 3.70547699e-01 2.00950637e+02 4.47670953e-01
2.01752559e+02 1.70368100e-01 2.01752559e+02 2.71613815e-01 2.01752559e+02 3.25763180e-01 2.01752559e+02 3.20630439e-01 2.01752559e+02 3.82403916e-01 2.01752559e+02 4.62313997e-01
2.02554415e+02 1.70664066e-01 2.02554415e+02 2.73992828e-01 2.02554415e+02 3.30012676e-01 2.02554415e+02 3.26894063e-01 2.02554415e+02 3.82836418e-01 2.02554415e+02 4.67922245e-01
2.03356205e+02 1.77639611e-01 2.03356205e+02 2.83091488e-01 2.03356205e+02 3.41188452e-01 2.03356205e+02 3.42762844e-01 2.03356205e+02 3.93451614e-01 2.03356205e+02 4.83797161e-01
2.04157930e+02 1.83934376e-01 2.04157930e+02 2.91654400e-01 2.04157930e+02 3.51805502e-01 2.04157930e+02 3.51623199e-01 2.04157930e+02 4.15339791e-01 2.04157930e+02 4.94824301e-01
2.04959589e+02 1.84790797e-01 2.04959589e+02 2.88905630e-01 2.04959589e+02 3.53459693e-01 2.04959589e+02 3.57327821e-01 2.04959589e+02 4.13817277e-01 2.04959589e+02 5.00048569e-01
2.05761182e+02 1.86754469e-01 2.05761182e+02 2.94307942e-01 2.05761182e+02 3.60511019e-01 2.05761182e+02 3.64588967e-01 2.05761182e+02 4.23203258e-01 2.05761182e+02 5.07384217e-01
