x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
1.97742294e+02 1.07500000e+00 1.97742294e+02 8.15000000e-01 1.97742294e+02 6.20000000e-01 1.97742294e+02 6.85000000e-01 1.97742294e+02 5.50000000e-01 1.97742294e+02 6.80000000e-01
1.98544478e+02 1.48500000e+00 1.98544478e+02 1.84500000e+00 1.98544478e+02 1.70000000e+00 1.98544478e+02 1.42500000e+00 1.98544478e+02 2.21000000e+00 1.98544478e+02 1.39000000e+00
1.99346597e+02 1.27500000e+00 1.99346597e+02 1.91500000e+00 1.99346597e+02 2.30000000e+00 1.99346597e+02 1.09500000e+00 1.99346597e+02 2.47000000e+00 1.99346597e+02 2.17000000e+00
2.00148650e+02 1.14500000e+00 2.00148650e+02 8.65000000e-01 2.00148650e+02 7.00000000e-01 2.00148650e+02 6.35000000e-01 2.00148650e+02 1.17000000e+00 2.00148650e+02 1.03000000e+00
2.00950637e+02 7.25000000e-01 2.00950637e+02 3.36500000e+00 2.00950637e+02 4.42000000e+00 2.00950637e+02 6.46500000e+00 2.00950637e+02 6.37000000e+00 2.00950637e+02 3.15000000e+00
2.01752559e+02 7.25000000e-01 2.01752559e+02 2.48500000e+00 2.01752559e+02 5.14000000e+00 2.01752559e+02 6.02500000e+00 2.01752559e+02 5.69000000e+00 2.01752559e+02 2.83000000e+00
2.02554415e+02 2.56500000e+00 2.02554415e+02 3.72500000e+00 2.02554415e+02 5.86000000e+00 2.02554415e+02 6.82500000e+00 2.02554415e+02 7.33000000e+00 2.02554415e+02 3.99000000e+00
2.03356205e+02 4.16500000e+00 2.03356205e+02 5.52500000e+00 2.03356205e+02 7.82000000e+00 2.03356205e+02 7.98500000e+00 2.03356205e+02 8.89000000e+00 2.03356205e+02 6.59000000e+00
2.04157930e+02 8.85000000e-01 2.04157930e+02 2.42500000e+00 2.04157930e+02 3.38000000e+00 2.04157930e+02 5.66500000e+00 2.04157930e+02 5.73000000e+00 2.04157930e+02 2.43000000e+00
2.04959589e+02 2.40500000e+00 2.04959589e+02 3.64500000e+00 2.04959589e+02 6.06000000e+00 2.04959589e+02 6.94500000e+00 2.04959589e+02 7.81000000e+00 2.04959589e+02 4.03000000e+00
