x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
1.97742e+02 1.07500e+00 1.97742e+02 8.15000e-01 1.97742e+02 6.20000e-01 1.97742e+02 6.85000e-01 1.97742e+02 5.50000e-01 1.97742e+02 6.80000e-01
1.98544e+02 1.48500e+00 1.98544e+02 1.84500e+00 1.98544e+02 1.70000e+00 1.98544e+02 1.42500e+00 1.98544e+02 2.21000e+00 1.98544e+02 1.39000e+00
1.99347e+02 1.27500e+00 1.99347e+02 1.91500e+00 1.99347e+02 2.30000e+00 1.99347e+02 1.09500e+00 1.99347e+02 2.47000e+00 1.99347e+02 2.17000e+00
2.00149e+02 1.14500e+00 2.00149e+02 8.65000e-01 2.00149e+02 7.00000e-01 2.00149e+02 6.35000e-01 2.00149e+02 1.17000e+00 2.00149e+02 1.03000e+00
2.00951e+02 7.25000e-01 2.00951e+02 3.36500e+00 2.00951e+02 4.42000e+00 2.00951e+02 6.46500e+00 2.00951e+02 6.37000e+00 2.00951e+02 3.15000e+00
2.01753e+02 7.25000e-01 2.01753e+02 2.48500e+00 2.01753e+02 5.14000e+00 2.01753e+02 6.02500e+00 2.01753e+02 5.69000e+00 2.01753e+02 2.83000e+00
2.02554e+02 2.56500e+00 2.02554e+02 3.72500e+00 2.02554e+02 5.86000e+00 2.02554e+02 6.82500e+00 2.02554e+02 7.33000e+00 2.02554e+02 3.99000e+00
2.03356e+02 4.16500e+00 2.03356e+02 5.52500e+00 2.03356e+02 7.82000e+00 2.03356e+02 7.98500e+00 2.03356e+02 8.89000e+00 2.03356e+02 6.59000e+00
2.04158e+02 8.85000e-01 2.04158e+02 2.42500e+00 2.04158e+02 3.38000e+00 2.04158e+02 5.66500e+00 2.04158e+02 5.73000e+00 2.04158e+02 2.43000e+00
2.04960e+02 2.40500e+00 2.04960e+02 3.64500e+00 2.04960e+02 6.06000e+00 2.04960e+02 6.94500e+00 2.04960e+02 7.81000e+00 2.04960e+02 4.03000e+00
2.05761e+02 4.08500e+00 2.05761e+02 5.88500e+00 2.05761e+02 2.92200e+01 2.05761e+02 8.94500e+00 2.05761e+02 7.53000e+00 2.05761e+02 4.63000e+00
2.06563e+02 2.40500e+00 2.06563e+02 3.60500e+00 2.06563e+02 5.02000e+00 2.06563e+02 6.02500e+00 2.06563e+02 6.81000e+00 2.06563e+02 2.83000e+00
2.07364e+02 1.88500e+00 2.07364e+02 3.44500e+00 2.07364e+02 6.10000e+00 2.07364e+02 6.78500e+00 2.07364e+02 6.85000e+00 2.07364e+02 2.95000e+00
2.08166e+02 2.36500e+00 2.08166e+02 3.04500e+00 2.08166e+02 4.46000e+00 2.08166e+02 5.38500e+00 2.08166e+02 7.01000e+00 2.08166e+02 3.67000e+00
2.08967e+02 2.20500e+00 2.08967e+02 3.72500e+00 2.08967e+02 4.86000e+00 2.08967e+02 6.78500e+00 2.08967e+02 7.25000e+00 2.08967e+02 3.51000e+00
2.09768e+02 2.04500e+00 2.09768e+02 3.80500e+00 2.09768e+02 4.66000e+00 2.09768e+02 6.42500e+00 2.09768e+02 7.69000e+00 2.09768e+02 2.87000e+00
2.10569e+02 6.65000e-01 2.10569e+02 1.38500e+00 2.10569e+02 2.70000e+00 2.10569e+02 3.06500e+00 2.10569e+02 3.25000e+00 2.10569e+02 7.60000e-01
2.11370e+02 3.16500e+00 2.11370e+02 3.52500e+00 2.11370e+02 4.42000e+00 2.11370e+02 6.66500e+00 2.11370e+02 7.65000e+00 2.11370e+02 4.19000e+00
2.12172e+02 2.56500e+00 2.12172e+02 3.64500e+00 2.12172e+02 5.50000e+00 2.12172e+02 5.94500e+00 2.12172e+02 7.61000e+00 2.12172e+02 4.71000e+00
2.12973e+02 2.24500e+00 2.12973e+02 3.56500e+00 2.12973e+02 5.26000e+00 2.12973e+02 6.62500e+00 2.12973e+02 5.81000e+00 2.12973e+02 3.15000e+00
2.13773e+02 1.84500e+00 2.13773e+02 2.76500e+00 2.13773e+02 5.14000e+00 2.13773e+02 6.02500e+00 2.13773e+02 6.17000e+00 2.13773e+02 2.19000e+00
2.14574e+02 8.75000e-01 2.14574e+02 5.75000e-01 2.14574e+02 3.18000e+00 2.14574e+02 4.46500e+00 2.14574e+02 4.85000e+00 2.14574e+02 1.67000e+00
2.15375e+02 3.32500e+00 2.15375e+02 3.04500e+00 2.15375e+02 5.38000e+00 2.15375e+02 7.30500e+00 2.15375e+02 7.17000e+00 2.15375e+02 3.11000e+00
2.16176e+02 3.08500e+00 2.16176e+02 3.68500e+00 2.16176e+02 5.34000e+00 2.16176e+02 6.26500e+00 2.16176e+02 7.49000e+00 2.16176e+02 3.11000e+00
2.16977e+02 1.25500e+00 2.16977e+02 3.68500e+00 2.16977e+02 6.02000e+00 2.16977e+02 4.42500e+00 2.16977e+02 5.29000e+00 2.16977e+02 1.83000e+00
2.17777e+02 2.24500e+00 2.17777e+02 4.56500e+00 2.17777e+02 5.10000e+00 2.17777e+02 6.50500e+00 2.17777e+02 5.93000e+00 2.17777e+02 3.75000e+00
2.18578e+02 1.18500e+00 2.18578e+02 1.52500e+00 2.18578e+02 3.98000e+00 2.18578e+02 3.82500e+00 2.18578e+02 4.41000e+00 2.18578e+02 1.80000e+00
2.19378e+02 1.65500e+00 2.19378e+02 2.56500e+00 2.19378e+02 4.62000e+00 2.19378e+02 5.94500e+00 2.19378e+02 5.69000e+00 2.19378e+02 2.19000e+00
2.20179e+02 3.16500e+00 2.20179e+02 4.04500e+00 2.20179e+02 5.54000e+00 2.20179e+02 5.98500e+00 2.20179e+02 6.93000e+00 2.20179e+02 2.99000e+00
2.20979e+02 2.08500e+00 2.20979e+02 2.64500e+00 2.20979e+02 4.74000e+00 2.20979e+02 5.42500e+00 2.20979e+02 5.57000e+00 2.20979e+02 1.07000e+00
2.21779e+02 2.12500e+00 2.21779e+02 2.56500e+00 2.21779e+02 3.70000e+00 2.21779e+02 4.18500e+00 2.21779e+02 6.37000e+00 2.21779e+02 2.35000e+00
2.22579e+02 1.28500e+00 2.22579e+02 1.48500e+00 2.22579e+02 3.86000e+00 2.22579e+02 4.02500e+00 2.22579e+02 3.45000e+00 2.22579e+02 7.20000e-01
2.23380e+02 8.05000e-01 2.23380e+02 5.95000e-01 2.23380e+02 2.14000e+00 2.23380e+02 2.12500e+00 2.23380e+02 3.29000e+00 2.23380e+02 1.45000e+00
2.24180e+02 4.64500e+00 2.24180e+02 3.88500e+00 2.24180e+02 7.34000e+00 2.24180e+02 8.94500e+00 2.24180e+02 6.57000e+00 2.24180e+02 4.47000e+00
2.24980e+02 2.44500e+00 2.24980e+02 3.56500e+00 2.24980e+02 5.50000e+00 2.24980e+02 5.06500e+00 2.24980e+02 6.33000e+00 2.24980e+02 2.19000e+00
2.25780e+02 1.40500e+00 2.25780e+02 1.52500e+00 2.25780e+02 3.86000e+00 2.25780e+02 4.42500e+00 2.25780e+02 5.05000e+00 2.25780e+02 1.23000e+00
2.26579e+02 1.13500e+00 2.26579e+02 1.96500e+00 2.26579e+02 3.46000e+00 2.26579e+02 3.26500e+00 2.26579e+02 4.33000e+00 2.26579e+02 1.31000e+00
2.27379e+02 6.55000e-01 2.27379e+02 1.90500e+00 2.27379e+02 3.30000e+00 2.27379e+02 5.02500e+00 2.27379e+02 3.17000e+00 2.27379e+02 6.70000e-01
