CsPb(OA)3,TOABr,ZnCl2,OAm_Tol,,Peak_nm,FWHM_nm,PLQY,,OAm_frac,Total,R_time_sec,Cl_Pb,OA_frac,,uid,,tubing ID (mm),1.016
10.59,31.76,47.65,0.00,,446.4,18.52,0.511,,0.03,90.00,324.29,4.50,0.08,,93d10bf8-0ac5-4964-8388-9b6389e2615a,,mixer length (m),0.6
12.65,37.95,37.95,1.45,,463.41,24.69,0.646,,0.03,90.00,324.29,3.00,0.09,,3031ca98-beee-45af-b62f-de2454c4a2cf,,mixer volume (mm3),486.4391799
15.71,47.13,23.57,3.59,,477.76,21.92,0.984,,0.03,90.00,324.29,1.50,0.12,,38098731-f41d-455b-a141-a3b220614509,,mixer volume (uL),486.4391799
17.87,53.61,13.40,5.12,,492.63,22.13,0.911,,0.03,90.00,324.29,0.75,0.13,,9ca3dbe7-b947-469d-bdb1-39d9c2a929a9,,,
19.47,58.41,5.84,6.28,,506.55,21.53,0.666,,0.03,90.00,324.29,0.30,0.14,,3ad57146-240a-4a36-b38c-bae96b41df16,,,
9.90,29.70,44.55,5.85,,449.31,20.09,0.749,,0.05,90.00,324.29,4.50,0.07,,7ca7d2cb-51e6-45e6-ba7d-7a4ece209f8b,,,
11.83,35.49,35.49,7.19,,456.19,21.16,0.635,,0.05,90.00,324.29,3.00,0.09,,4462c749-1422-4c9c-9306-4107b58841fd,,,
14.69,44.07,22.04,9.21,,476.88,25.01,0.839,,0.05,90.00,324.29,1.50,0.11,,63dc2796-1980-4489-a766-bacf7ab3a47f,,,
16.71,50.13,12.53,10.63,,493.3,22.04,0.798,,0.05,90.00,324.29,0.75,0.12,,6e402d3a-0ac7-44ea-9583-8bb9d0c54634,,,
18.22,54.65,5.46,11.68,,505.48,21.89,0.788,,0.05,90.00,324.29,0.30,0.13,,b20461eb-5ddf-4cf5-ba98-3214ed5c9729,,,
9.21,27.63,41.45,11.72,,428.70,15.52,0.246,,0.07,90.00,324.29,4.50,0.07,,a3229cfe-a407-46a6-ae53-053a383dbaf5,,,
