CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
1.05900002e+01 3.17600002e+01 4.76500015e+01 0.00000000e+00 4.46399994e+02 1.85200005e+01 5.10999978e-01 2.99999993e-02 9.00000000e+01 3.24290009e+02 4.50000000e+00 7.99999982e-02 9.00000000e+01 3.24000000e+02 3.00000000e-02 4.50000000e+00
1.26499996e+01 3.79500008e+01 3.79500008e+01 1.45000005e+00 4.63410004e+02 2.46900005e+01 6.46000028e-01 2.99999993e-02 9.00000000e+01 3.24290009e+02 3.00000000e+00 9.00000036e-02 9.00000000e+01 3.24000000e+02 3.00000000e-02 3.00000000e+00
1.57100000e+01 4.71300011e+01 2.35699997e+01 3.58999991e+00 4.77760010e+02 2.19200001e+01 9.84000027e-01 2.99999993e-02 9.00000000e+01 3.24290009e+02 1.50000000e+00 1.19999997e-01 9.00000000e+01 3.24000000e+02 3.00000000e-02 1.50000000e+00
1.78700008e+01 5.36100006e+01 1.33999996e+01 5.11999989e+00 4.92630005e+02 2.21299992e+01 9.11000013e-01 2.99999993e-02 9.00000000e+01 3.24290009e+02 7.50000000e-01 1.29999995e-01 9.00000000e+01 3.24000000e+02 3.00000000e-02 7.50000000e-01
1.94699993e+01 5.84099998e+01 5.84000015e+00 6.28000021e+00 5.06549988e+02 2.15300007e+01 6.66000009e-01 2.99999993e-02 9.00000000e+01 3.24290009e+02 3.00000012e-01 1.40000001e-01 9.00000000e+01 3.24000000e+02 3.00000000e-02 3.00000000e-01
9.89999962e+00 2.97000008e+01 4.45499992e+01 5.84999990e+00 4.49309998e+02 2.00900002e+01 7.49000013e-01 5.00000007e-02 9.00000000e+01 3.24290009e+02 4.50000000e+00 7.00000003e-02 9.00000000e+01 3.24000000e+02 5.00000000e-02 4.50000000e+00
1.18299999e+01 3.54900017e+01 3.54900017e+01 7.19000006e+00 4.56190002e+02 2.11599998e+01 6.34999990e-01 5.00000007e-02 9.00000000e+01 3.24290009e+02 3.00000000e+00 9.00000036e-02 9.00000000e+01 3.24000000e+02 5.00000000e-02 3.00000000e+00
1.46899996e+01 4.40699997e+01 2.20400009e+01 9.21000004e+00 4.76880005e+02 2.50100002e+01 8.38999987e-01 5.00000007e-02 9.00000000e+01 3.24290009e+02 1.50000000e+00 1.09999999e-01 9.00000000e+01 3.24000000e+02 5.00000000e-02 1.50000000e+00
1.67099991e+01 5.01300011e+01 1.25299997e+01 1.06300001e+01 4.93299988e+02 2.20400009e+01 7.97999978e-01 5.00000007e-02 9.00000000e+01 3.24290009e+02 7.50000000e-01 1.19999997e-01 9.00000000e+01 3.24000000e+02 5.00000000e-02 7.50000000e-01
1.82199993e+01 5.46500015e+01 5.46000004e+00 1.16800003e+01 5.05480011e+02 2.18899994e+01 7.87999988e-01 5.00000007e-02 9.00000000e+01 3.24290009e+02 3.00000012e-01 1.29999995e-01 9.00000000e+01 3.24000000e+02 5.00000000e-02 3.00000000e-01
