r_Cl_64micl g_Cl_64micl r_Cl_32micl g_Cl_32micl r_Cl_16micl g_Cl_16micl r_Cl_8micl g_Cl_8micl r_CsPbBr2_10m g_CsPbBr2_10m r_I_8micl g_I_8micl r_I_16micl g_I_16micl r_I_32micl g_I_32micl r_I_64micl g_I_64micl
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.00000000e-02 2.53959000e-03 1.00000000e-02 1.24094000e-03 1.00000000e-02 2.72588000e-03 1.00000000e-02 -7.94781000e-04 1.00000000e-02 7.33367000e-03 1.00000000e-02 1.44850000e-02 1.00000000e-02 8.35231000e-03 1.00000000e-02 6.40119000e-03 1.00000000e-02 4.87339000e-03
2.00000000e-02 4.94077000e-03 2.00000000e-02 2.35950000e-03 2.00000000e-02 5.33123000e-03 2.00000000e-02 -1.59264000e-03 2.00000000e-02 1.44065000e-02 2.00000000e-02 2.84793000e-02 2.00000000e-02 1.64069000e-02 2.00000000e-02 1.25783000e-02 2.00000000e-02 9.57590000e-03
3.00000000e-02 7.07428000e-03 3.00000000e-02 3.24258000e-03 3.00000000e-02 7.70297000e-03 3.00000000e-02 -2.39541000e-03 3.00000000e-02 2.09721000e-02 3.00000000e-02 4.15187000e-02 3.00000000e-02 2.38826000e-02 3.00000000e-02 1.83195000e-02 3.00000000e-02 1.39460000e-02
4.00000000e-02 8.82297000e-03 4.00000000e-02 3.79007000e-03 4.00000000e-02 9.73765000e-03 4.00000000e-02 -3.20271000e-03 4.00000000e-02 2.68015000e-02 4.00000000e-02 5.31701000e-02 4.00000000e-02 3.05179000e-02 4.00000000e-02 2.34279000e-02 4.00000000e-02 1.78335000e-02
5.00000000e-02 1.00871000e-02 5.00000000e-02 3.92041000e-03 5.00000000e-02 1.13456000e-02 5.00000000e-02 -4.01105000e-03 5.00000000e-02 3.16913000e-02 5.00000000e-02 6.30457000e-02 5.00000000e-02 3.60805000e-02 5.00000000e-02 2.77276000e-02 5.00000000e-02 2.11044000e-02
6.00000000e-02 1.07888000e-02 6.00000000e-02 3.57543000e-03 6.00000000e-02 1.24548000e-02 6.00000000e-02 -4.81306000e-03 6.00000000e-02 3.54703000e-02 6.00000000e-02 7.08159000e-02 6.00000000e-02 4.03747000e-02 6.00000000e-02 3.10704000e-02 6.00000000e-02 2.36457000e-02
7.00000000e-02 1.08761000e-02 7.00000000e-02 2.72407000e-03 7.00000000e-02 1.30135000e-02 7.00000000e-02 -5.59705000e-03 7.00000000e-02 3.80055000e-02 7.00000000e-02 7.62194000e-02 7.00000000e-02 4.32482000e-02 7.00000000e-02 3.33402000e-02 7.00000000e-02 2.53690000e-02
8.00000000e-02 1.03253000e-02 8.00000000e-02 1.36496000e-03 8.00000000e-02 1.29932000e-02 8.00000000e-02 -6.34677000e-03 8.00000000e-02 3.92069000e-02 8.00000000e-02 7.90724000e-02 8.00000000e-02 4.45975000e-02 8.00000000e-02 3.44572000e-02 8.00000000e-02 2.62135000e-02
9.00000000e-02 9.14262000e-03 9.00000000e-02 -4.72408000e-04 9.00000000e-02 1.23890000e-02 9.00000000e-02 -7.04154000e-03 9.00000000e-02 3.90303000e-02 9.00000000e-02 7.92742000e-02 9.00000000e-02 4.43717000e-02 9.00000000e-02 3.43806000e-02 9.00000000e-02 2.61483000e-02
1.00000000e-01 7.36459000e-03 1.00000000e-01 -2.72788000e-03 1.00000000e-01 1.12211000e-02 1.00000000e-01 -7.65665000e-03 1.00000000e-01 3.74792000e-02 1.00000000e-01 7.68110000e-02 1.00000000e-01 4.25741000e-02 1.00000000e-01 3.31100000e-02 1.00000000e-01 2.51733000e-02
1.10000000e-01 5.05691000e-03 1.10000000e-01 -5.31229000e-03 1.10000000e-01 9.53353000e-03 1.10000000e-01 -8.16408000e-03 1.10000000e-01 3.46047000e-02 1.10000000e-01 7.17564000e-02 1.10000000e-01 3.92622000e-02 1.10000000e-01 3.06856000e-02 1.10000000e-01 2.33193000e-02
1.20000000e-01 2.31236000e-03 1.20000000e-01 -8.11054000e-03 1.20000000e-01 7.39278000e-03 1.20000000e-01 -8.53353000e-03 1.20000000e-01 3.05041000e-02 1.20000000e-01 6.42693000e-02 1.20000000e-01 3.45466000e-02 1.20000000e-01 2.71871000e-02 1.20000000e-01 2.06474000e-02
1.30000000e-01 -7.52534000e-04 1.30000000e-01 -1.09860000e-02 1.30000000e-01 4.88570000e-03 1.30000000e-01 -8.73371000e-03 1.30000000e-01 2.53175000e-02 1.30000000e-01 5.45891000e-02 1.30000000e-01 2.85866000e-02 1.30000000e-01 2.27312000e-02 1.30000000e-01 1.72466000e-02
1.40000000e-01 -4.00225000e-03 1.40000000e-01 -1.37835000e-02 1.40000000e-01 2.11469000e-03 1.40000000e-01 -8.73165000e-03 1.40000000e-01 1.92166000e-02 1.40000000e-01 4.30138000e-02 1.40000000e-01 2.15781000e-02 1.40000000e-01 1.74613000e-02 1.40000000e-01 1.32267000e-02
1.50000000e-01 -7.28217000e-03 1.50000000e-01 -1.63356000e-02 1.50000000e-01 -7.99719000e-04 1.50000000e-01 -8.49782000e-03 1.50000000e-01 1.24188000e-02 1.50000000e-01 2.99312000e-02 1.50000000e-01 1.37697000e-02 1.50000000e-01 1.15612000e-02 1.50000000e-01 8.72788000e-03
1.60000000e-01 -1.04326000e-02 1.60000000e-01 -1.84789000e-02 1.60000000e-01 -3.72926000e-03 1.60000000e-01 -8.01008000e-03 1.60000000e-01 5.17065000e-03 1.60000000e-01 1.57902000e-02 1.60000000e-01 5.44338000e-03 1.60000000e-01 5.24079000e-03 1.60000000e-01 3.91040000e-03
1.70000000e-01 -1.32948000e-02 1.70000000e-01 -2.00551000e-02 1.70000000e-01 -6.54533000e-03 1.70000000e-01 -7.25007000e-03 1.70000000e-01 -2.27423000e-03 1.70000000e-01 1.05668000e-03 1.70000000e-01 -3.11007000e-03 1.70000000e-01 -1.28347000e-03 1.70000000e-01 -1.06053000e-03
1.80000000e-01 -1.57165000e-02 1.80000000e-01 -2.09202000e-02 1.80000000e-01 -9.12144000e-03 1.80000000e-01 -6.20710000e-03 1.80000000e-01 -9.65450000e-03 1.80000000e-01 -1.37821000e-02 1.80000000e-01 -1.15905000e-02 1.80000000e-01 -7.78703000e-03 1.80000000e-01 -6.01365000e-03
